□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 사파동,4*,다가구,12m미만,248.74,255.7,201908,22,"        57,000",2011,비음로45번길
경상남도 창원성산구 사파동,5*,다가구,12m미만,242.44,257.2,202005,13,"        45,000",2008,비음로67번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,256.76,260.2,201910,24,"        69,938",2019,비음로27번길
경상남도 창원성산구 사파동,2*,다가구,12m미만,258.84,264.4,201910,19,"        46,300",2008,비음로14번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,265.18,267.9,201907,22,"        75,022",2019,비음로27번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,266,268,201908,28,"        72,872",2019,비음로27번길
경상남도 창원성산구 사파동,4*,단독,12m미만,219.3,236.7,201910,25,"        38,000",2008,비음로45번길
경상남도 창원성산구 사파동,4*,단독,12m미만,224.01,236.7,202001,12,"        56,500",2010,비음로45번길
경상남도 창원성산구 사파동,1**,단독,12m미만,219.12,240.5,202003,21,"        62,800",2008,동산로220번길
경상남도 창원성산구 사파동,1**,단독,12m미만,228.52,242.5,201910,26,"        29,000",1997,창이대로684번길
경상남도 창원성산구 사파동,3*,단독,12m미만,189.65,247.6,201912,4,"        38,000",2000,비음로27번길
경상남도 창원성산구 사파동,8*,단독,12m미만,329.98,253.4,201911,30,"        35,000",1994,창이대로707번길
경상남도 창원성산구 사파동,1**,단독,12m미만,233.67,255.2,202002,20,"        44,000",2020,동산로206번길
