□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 의창구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
27,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,33.8433,202208,19,"18,400",4,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
28,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,33.8433,202208,19,"18,912",4,-,-,2019,용동로 45,-,직거래,-
29,경상남도 창원시 의창구 명서동,202-3,0202,0003,모비딕빌딩,35.5200,202208,18,"6,500",13,-,-,2004,우곡로217번길 24,-,중개거래,경남 창원의창구
30,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,23.2798,202208,18,"11,000",7,-,-,2019,용동로 45,-,중개거래,경남 창원의창구
31,경상남도 창원시 의창구 동읍 용잠리,1153-12,1153,0012,라푸름,75.6045,202208,13,"11,000",14,-,-,2017, ,-,중개거래,경남 창원의창구
32,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202208,12,"12,700",3,-,-,2019,용동로57번안길 9-11,-,중개거래,경남 창원의창구
33,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,83.4100,202208,04,"32,788",2,-,-,2022,의창대로289번길 6-8,-,직거래,-
34,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,84.3500,202208,04,"33,161",2,-,-,2022,의창대로289번길 6-8,-,직거래,-
35,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,84.3500,202208,04,"33,161",3,-,-,2022,의창대로289번길 6-8,-,직거래,-
36,경상남도 창원시 의창구 소답동,158-3,0158,0003,덕산행운빌,83.4100,202208,04,"33,108",7,-,-,2022,의창대로289번길 6-8,-,직거래,-
