□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2021-01-01 ~ 2021-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 성산구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
28,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.9400,202112,07,"8,000",13,-,-,2016,상남로 75,-,중개거래,경남 창원성산구
29,경상남도 창원시 성산구 용호동,73-2,0073,0002,라이크빌-1,37.4400,202112,04,"4,300",7,-,-,1991, 13,-,중개거래,경남 창원성산구
30,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.7000,202112,03,"5,800",3,-,-,2016,상남로 75,-,중개거래,경남 창원성산구
31,경상남도 창원시 성산구 중앙동,97-3,0097,0003,상지솔리움,24.9400,202112,03,"3,650",9,-,-,2003,중앙대로 75,20211207,중개거래,경남 창원성산구
32,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.9400,202112,03,"6,200",12,-,-,2016,상남로 75,-,중개거래,경남 창원의창구
33,경상남도 창원시 성산구 상남동,75-2,0075,0002,엠케이오피스텔,40.2706,202111,30,"17,000",23,-,-,2016,중앙대로 94,-,중개거래,경남 창원성산구
34,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202111,30,"50,000",25,-,-,2008,중앙대로 48,-,중개거래,경남 창원성산구
35,경상남도 창원시 성산구 상남동,76-1,0076,0001,스타 타워즈,61.4475,202111,30,"12,000",7,-,-,2005,중앙대로100번길 14,-,중개거래,경남 창원성산구
36,경상남도 창원시 성산구 중앙동,94-2,0094,0002,창원광장 동광뷰엘,19.4400,202111,29,"7,500",13,-,-,2017,중앙대로113번길 13,-,중개거래,경남 창원성산구
37,경상남도 창원시 성산구 중앙동,94-2,0094,0002,창원광장 동광뷰엘,37.2900,202111,25,"16,000",8,-,-,2017,중앙대로113번길 13,-,중개거래,경남 창원성산구
