□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
28,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,25.2000,202312,01,"4,200",15,-,-,1999,해안대로 15,-,중개거래,경남 창원마산합포구
29,경상남도 창원시 마산합포구 월남동2가,4-1,0004,0001,씨티빌오피스텔,21.9225,202312,01,"2,500",6,-,-,2002,3·15대로 77,-,중개거래,경남 창원마산합포구
30,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,22.5900,202311,30,"4,385",2,-,-,2009,문화동10길 10,-,직거래,-
31,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",2,-,-,2009,문화동10길 10,-,직거래,-
32,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",2,-,-,2009,문화동10길 10,-,직거래,-
33,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",2,-,-,2009,문화동10길 10,-,직거래,-
34,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,43.9000,202311,30,"8,522",6,-,-,2009,문화동10길 10,-,직거래,-
35,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,22.5900,202311,30,"4,385",3,-,-,2009,문화동10길 10,-,직거래,-
36,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,22.5900,202311,30,"4,385",3,-,-,2009,문화동10길 10,-,직거래,-
37,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,45.1800,202311,30,"8,770",5,-,-,2009,문화동10길 10,-,직거래,-
38,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",3,-,-,2009,문화동10길 10,-,직거래,-
39,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",3,-,-,2009,문화동10길 10,-,직거래,-
