시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,비고,lng,lat
경상남도 창원성산구 반지동,1**,다가구,25m미만,329.25,225.4,201507,18,"        60,000",2000.0,반송로,2. 성산구_단독다가구(매매),128.666761861876,35.2385393171584
경상남도 창원성산구 반지동,6*,다가구,12m미만,310.43,228.1,201508,28,"        47,000",1991.0,반송로82번길,2. 성산구_단독다가구(매매),128.664736466207,35.2380272783885
경상남도 창원성산구 반지동,7*,다가구,12m미만,184.32,228.5,201508,7,"        42,000",1985.0,반송로42번길,2. 성산구_단독다가구(매매),128.660620215058,35.2399577459225
경상남도 창원성산구 반지동,1**,다가구,25m미만,178.08,230.6,201602,3,"        49,000",1979.0,반송로,2. 성산구_단독다가구(매매),128.666761861876,35.2385393171584
경상남도 창원성산구 반지동,4*,다가구,12m미만,191.75,241.8,201603,14,"        42,000",1989.0,,2. 성산구_단독다가구(매매),,
경상남도 창원성산구 반지동,8*,다가구,12m미만,246.05,249.2,201510,14,"        72,000",2014.0,창원천로196번길,2. 성산구_단독다가구(매매),128.660637905705,35.2415418479564
경상남도 창원성산구 반지동,9*,다가구,12m미만,208.58,251.2,201605,19,"        59,500",2007.0,창원천로162번길,2. 성산구_단독다가구(매매),128.656759120653,35.2418478122157
경상남도 창원성산구 반지동,4*,다가구,25m미만,170.06,252.9,201604,30,"        45,300",1985.0,반지로,2. 성산구_단독다가구(매매),128.661595334901,35.2418954103204
경상남도 창원성산구 반지동,4*,다가구,12m미만,216.55,253.6,201606,29,"        68,000",2010.0,충혼로201번길,2. 성산구_단독다가구(매매),128.66450760257,35.2416419741
경상남도 창원성산구 반지동,4*,다가구,12m미만,243.29,255.4,201509,2,"        66,000",2015.0,충혼로201번길,2. 성산구_단독다가구(매매),128.66450760257,35.2416419741
경상남도 창원성산구 반지동,4*,다가구,12m미만,244.46,257.3,201601,5,"        69,500",2015.0,반송로29번길,2. 성산구_단독다가구(매매),128.662943025225,35.2432577442014
경상남도 창원성산구 반지동,4*,다가구,12m미만,247.32,261.1,201512,13,"        58,000",2010.0,충혼로175번길,2. 성산구_단독다가구(매매),128.663890150387,35.2407022033357
경상남도 창원성산구 반지동,3*,다가구,25m미만,171.81,275.1,201603,10,"        60,000",1994.0,반송로,2. 성산구_단독다가구(매매),128.666761861876,35.2385393171584
경상남도 창원성산구 반지동,3*,다가구,25m미만,250.84,277.1,201606,25,"        75,000",2015.0,반지로,2. 성산구_단독다가구(매매),128.661595334901,35.2418954103204
경상남도 창원성산구 반지동,7*,단독,12m미만,177.25,211.8,201511,8,"        44,000",1988.0,원이대로393번길,2. 성산구_단독다가구(매매),128.662538400396,35.2389351068887
경상남도 창원성산구 반지동,6*,단독,12m미만,162.3,214.7,201509,11,"        40,000",1983.0,원이대로393번길,2. 성산구_단독다가구(매매),128.662538400396,35.2389351068887
경상남도 창원성산구 반지동,7*,단독,12m미만,94.38,216.8,201510,28,"        38,200",1984.0,반송로42번길,2. 성산구_단독다가구(매매),128.660620215058,35.2399577459225
경상남도 창원성산구 반지동,1**,단독,12m미만,162.56,219.1,201508,31,"        33,000",1987.0,창원천로138번길,2. 성산구_단독다가구(매매),128.655609046693,35.2414733254696
경상남도 창원성산구 반지동,8*,단독,12m미만,196.19,219.5,201509,22,"        50,000",2002.0,반송로42번길,2. 성산구_단독다가구(매매),128.660620215058,35.2399577459225
경상남도 창원성산구 반지동,6*,단독,12m미만,206.69,223.1,201512,15,"        38,500",1983.0,,2. 성산구_단독다가구(매매),,
경상남도 창원성산구 반지동,8*,단독,12m미만,223.04,223.9,201507,27,"        66,000",2014.0,창원천로188번길,2. 성산구_단독다가구(매매),128.659587788289,35.2422241498287
경상남도 창원성산구 반지동,8*,단독,12m미만,140.43,228.4,201604,14,"        35,000",1985.0,,2. 성산구_단독다가구(매매),,
경상남도 창원성산구 반지동,7*,단독,12m미만,189.77,228.9,201509,25,"        42,000",1989.0,반송로42번길,2. 성산구_단독다가구(매매),128.660620215058,35.2399577459225
경상남도 창원성산구 반지동,7*,단독,12m미만,221.28,229.1,201508,1,"        59,500",2009.0,반송로42번길,2. 성산구_단독다가구(매매),128.660620215058,35.2399577459225
경상남도 창원성산구 반지동,1**,단독,25m미만,186.58,230.3,201512,15,"        50,000",1982.0,반송로,2. 성산구_단독다가구(매매),128.666761861876,35.2385393171584
경상남도 창원성산구 반지동,1**,단독,12m미만,214.99,230.8,201512,12,"        60,000",2010.0,창원천로188번길,2. 성산구_단독다가구(매매),128.659587788289,35.2422241498287
경상남도 창원성산구 반지동,7*,단독,12m미만,188.34,231.1,201510,8,"        42,500",1988.0,반송로42번길,2. 성산구_단독다가구(매매),128.660620215058,35.2399577459225
경상남도 창원성산구 반지동,1**,단독,12m미만,164.08,231.2,201511,3,"        46,000",1987.0,창원천로138번길,2. 성산구_단독다가구(매매),128.655609046693,35.2414733254696
경상남도 창원성산구 반지동,7*,단독,8m미만,230.62,232.9,201603,16,"        74,700",2014.0,반지로4번길,2. 성산구_단독다가구(매매),128.661823442795,35.23789275353
경상남도 창원성산구 반지동,2*,단독,12m미만,164.35,237.3,201512,30,"        40,000",1988.0,창원천로238번길,2. 성산구_단독다가구(매매),128.664506264605,35.2445593289167
경상남도 창원성산구 반지동,9*,단독,12m미만,163.48,238.9,201603,30,"        41,000",1988.0,창원천로174번길,2. 성산구_단독다가구(매매),128.658088927876,35.2422117140372
경상남도 창원성산구 반지동,6*,단독,8m미만,166.56,241.6,201507,6,"        44,300",1988.0,반지로4번길,2. 성산구_단독다가구(매매),128.661823442795,35.23789275353
경상남도 창원성산구 반지동,3*,단독,12m미만,164.78,244.4,201603,4,"        40,500",1987.0,,2. 성산구_단독다가구(매매),,
경상남도 창원성산구 반지동,6*,단독,12m미만,163.62,245.7,201508,14,"        44,200",1987.0,반지로32번길,2. 성산구_단독다가구(매매),128.663147169171,35.2399944161828
경상남도 창원성산구 반지동,9*,단독,12m미만,209.97,249.3,201508,31,"        41,000",1987.0,창원천로196번길,2. 성산구_단독다가구(매매),128.660637905705,35.2415418479564
경상남도 창원성산구 반지동,3*,단독,25m미만,181.28,250.1,201606,16,"        47,500",1985.0,반지로,2. 성산구_단독다가구(매매),128.661595334901,35.2418954103204
