행정동,소계
합  계,1056316
의창구,265846
동읍            ,20674
북면            ,42877
대산면          ,7716
의창동          ,50678
팔룡동          ,37326
명곡동          ,44149
봉림동          ,31471
용지동          ,30955
성산구,221585
반송동          ,42839
중앙동          ,24212
상남동          ,28973
사파동          ,46816
가음정동        ,42213
성주동          ,27456
웅남동          ,9076
마산합포구,177662
구산면          ,4611
진동면          ,12718
진북면          ,4061
진전면          ,4139
현동            ,14663
가포동          ,707
월영동          ,32992
문화동          ,11758
반월중앙동      ,15489
완월동          ,9646
자산동          ,11313
교방동          ,14751
오동동          ,20470
합포동          ,7165
산호동          ,13179
마산회원구,195101
내서읍          ,66644
회원1동         ,11092
회원2동         ,7707
석전동          ,17215
회성동          ,6603
양덕1동         ,11730
양덕2동         ,32502
합성1동         ,9720
합성2동         ,8229
구암1동         ,9497
구암2동         ,10065
봉암동          ,4097
진해구,196122
충무동          ,17767
여좌동          ,9109
태백동          ,5291
경화동          ,11603
병암동          ,7730
석동            ,17606
이동            ,8694
자은동          ,21809
덕산동          ,10336
풍호동          ,26394
웅천동          ,12719
웅동1동         ,7306
웅동2동         ,39758
"   * 마산합포구 교방동 : 교방동+노산동(2020.1.1.통합) 
   * 진해구 충무동 : 중앙동+태평동+충무동(2020.1.1.통합)",
