행정동,소계
합  계,1074236
의창구,255625
동읍            ,23028
북면            ,33695
대산면          ,7551
의창동          ,37381
팔룡동          ,38593
명곡동          ,50724
봉림동          ,35704
용지동          ,28949
성산구,233198
반송동          ,46738
중앙동          ,25612
상남동          ,31281
사파동          ,51930
가음정동        ,39094
성주동          ,28084
웅남동          ,10459
마산합포구,183983
구산면          ,4975
진동면          ,13472
진북면          ,4406
진전면          ,4415
현동            ,12475
가포동          ,994
월영동          ,30321
문화동          ,12520
반월중앙동      ,17038
완월동          ,10782
자산동          ,12577
교방동          ,9714
노산동          ,7054
오동동          ,21658
합포동          ,8102
산호동          ,13480
마산회원구,209529
내서읍          ,71145
회원1동         ,12292
회원2동         ,11140
석전동          ,15328
회성동          ,7549
양덕1동         ,12674
양덕2동         ,35317
합성1동         ,7516
합성2동         ,9957
구암1동         ,10785
구암2동         ,11057
봉암동          ,4769
진해구,191901
중앙동          ,8843
태평동          ,6588
충무동          ,4249
여좌동          ,10545
태백동          ,6218
경화동          ,11588
병암동          ,8463
석동            ,18717
이동            ,10425
자은동          ,17766
덕산동          ,11605
풍호동          ,27137
웅천동          ,5230
웅동1동         ,8032
웅동2동         ,36495
"   * 마산합포구 오동동 : 오동동+성호동+동서동(통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(통합) 
   * 마산회원구 석전동 : 석전1동+석전2동(통합) ",
