행정동,소계
합  계,1067789
의창구,258201
동읍            ,21657
북면            ,42265
대산면          ,7709
의창동          ,35111
팔룡동          ,38815
명곡동          ,47217
봉림동          ,32868
용지동          ,32559
성산구,229759
반송동          ,44416
중앙동          ,24996
상남동          ,29877
사파동          ,49031
가음정동        ,43894
성주동          ,27918
웅남동          ,9627
마산합포구,182528
구산면          ,4821
진동면          ,13166
진북면          ,4235
진전면          ,4282
현동            ,14476
가포동          ,720
월영동          ,32551
문화동          ,12230
반월중앙동      ,16179
완월동          ,10127
자산동          ,11944
교방동          ,8959
노산동          ,6557
오동동          ,20934
합포동          ,7588
산호동          ,13759
마산회원구,200493
내서읍          ,69170
회원1동         ,11677
회원2동         ,8281
석전동          ,14486
회성동          ,7043
양덕1동         ,12318
양덕2동         ,33735
합성1동         ,9866
합성2동         ,8757
구암1동         ,10150
구암2동         ,10524
봉암동          ,4486
진해구,196808
중앙동          ,8230
태평동          ,6302
충무동          ,3880
여좌동          ,9539
태백동          ,5674
경화동          ,11554
병암동          ,7995
석동            ,17877
이동            ,9305
자은동          ,21596
덕산동          ,10651
풍호동          ,26665
웅천동          ,10999
웅동1동         ,7552
웅동2동         ,38989
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
