행정동,소계
합  계,1059670
의창구,263868
동읍            ,20943
북면            ,42858
대산면          ,7755
의창동          ,46127
팔룡동          ,38192
명곡동          ,44926
봉림동          ,31767
용지동          ,31300
성산구,223623
반송동          ,43149
중앙동          ,24339
상남동          ,29069
사파동          ,47438
가음정동        ,42687
성주동          ,27728
웅남동          ,9213
마산합포구,179299
구산면          ,4687
진동면          ,12907
진북면          ,4112
진전면          ,4193
현동            ,14717
가포동          ,706
월영동          ,33007
문화동          ,11881
반월중앙동      ,15680
완월동          ,9701
자산동          ,11476
교방동          ,14936
오동동          ,20645
합포동          ,7271
산호동          ,13380
마산회원구,196033
내서읍          ,67420
회원1동         ,11238
회원2동         ,7834
석전동          ,15941
회성동          ,6705
양덕1동         ,11859
양덕2동         ,32762
합성1동         ,9808
합성2동         ,8389
구암1동         ,9699
구암2동         ,10172
봉암동          ,4206
진해구,196847
충무동          ,18029
여좌동          ,9132
태백동          ,5355
경화동          ,11666
병암동          ,7784
석동            ,17673
이동            ,8815
자은동          ,21845
덕산동          ,10426
풍호동          ,26522
웅천동          ,12618
웅동1동         ,7350
웅동2동         ,39632
"  * 마산합포구 교방동 : 교방동+노산동(2020.1.1.통합) 
  * 진해구 충무동 : 중앙동+태평동+충무동(2020.1.1.통합)",
