행정동,소계
합  계,1029851
의창구,218211
동읍            ,19245
북면            ,43453
대산면          ,7285
의창동          ,50047
팔룡동          ,26541
명곡동          ,40816
봉림동          ,30824
성산구,250491
반송동          ,40252
용지동          ,27403
중앙동,35943
상남동          ,27112
사파동          ,46282
가음정동        ,39114
성주동          ,26159
웅남동          ,8226
마산합포구,180499
구산면          ,4262
진동면          ,12104
진북면          ,3680
진전면          ,3877
현동            ,13968
가포동          ,2307
월영동          ,42534
문화동          ,11266
반월중앙동      ,13900
완월동          ,8798
자산동          ,9779
교방동          ,15978
오동동,18999
합포동          ,6985
산호동          ,12062
마산회원구,184314
내서읍          ,62233
회원1동         ,9991
회원2동         ,9947
석전동          ,16639
회성동          ,5601
양덕1동         ,10827
양덕2동         ,30689
합성1동         ,9044
합성2동         ,7606
구암1동         ,8672
구암2동         ,9288
봉암동          ,3777
진해구,196336
충무동          ,16475
여좌동          ,8261
태백동          ,3629
경화동          ,10872
병암동          ,7251
석동            ,17542
이동            ,8570
자은동          ,20892
덕산동          ,9874
풍호동          ,25308
웅천동          ,13324
웅동1동         ,8573
웅동2동         ,45765
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
