행정동,소계
합  계,1036467
의창구,219143
동읍            ,19631
북면            ,43306
대산면          ,7341
의창동          ,50351
팔룡동          ,26523
명곡동          ,41324
봉림동          ,30667
성산구,252059
반송동          ,40374
용지동          ,27719
중앙동,35772
상남동          ,27385
사파동          ,46469
가음정동        ,39898
성주동          ,26231
웅남동          ,8211
마산합포구,181838
구산면          ,4317
진동면          ,12105
진북면          ,3664
진전면          ,3880
현동            ,14020
가포동          ,2251
월영동          ,42681
문화동          ,11303
반월중앙동      ,14068
완월동          ,8907
자산동          ,10076
교방동          ,16052
오동동,19212
합포동          ,7113
산호동          ,12189
마산회원구,186072
내서읍          ,62955
회원1동         ,10085
회원2동         ,9989
석전동          ,16724
회성동          ,5828
양덕1동         ,10940
양덕2동         ,30871
합성1동         ,9125
합성2동         ,7674
구암1동         ,8771
구암2동         ,9373
봉암동          ,3737
진해구,197355
충무동          ,16634
여좌동          ,8483
태백동          ,3745
경화동          ,10978
병암동          ,7327
석동            ,17596
이동            ,8538
자은동          ,21093
덕산동          ,10017
풍호동          ,25443
웅천동          ,13202
웅동1동         ,8487
웅동2동         ,45812
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
