행정동,소계
합  계,1089185
의창구,263453
동읍            ,23675
북면            ,28284
대산면          ,7913
의창동          ,38545
팔룡동          ,42156
명곡동          ,53640
봉림동          ,38079
용지동          ,31161
성산구,242098
반송동          ,48498
중앙동          ,25754
상남동          ,32439
사파동          ,54903
가음정동        ,39046
성주동          ,29908
웅남동          ,11550
마산합포구,183761
구산면          ,5207
진동면          ,12807
진북면          ,4648
진전면          ,4495
현동            ,3902
가포동          ,1328
월영동          ,31453
문화동          ,13217
반월동          ,9083
중앙동          ,8938
완월동          ,11388
자산동          ,13452
동서동          ,11638
성호동          ,4515
교방동          ,11303
노산동          ,7668
오동동          ,6630
합포동          ,7712
산호동          ,14377
마산회원구,214711
내서읍          ,72570
회원1동         ,12464
회원2동         ,13858
석전1동         ,7957
석전2동         ,10028
회성동          ,7803
양덕1동         ,13404
양덕2동         ,29279
합성1동         ,8646
합성2동         ,10441
구암1동         ,11533
구암2동         ,11591
봉암동          ,5137
진해구,185162
중앙동          ,9598
태평동          ,6825
충무동          ,4718
여좌동          ,12087
태백동          ,6804
경화동          ,11163
병암동          ,8979
석동            ,19893
이동            ,11472
자은동          ,12521
덕산동          ,12436
풍호동          ,18141
웅천동          ,5063
웅동1동         ,9561
웅동2동         ,35901
