행정동,소계
합  계,1036930
의창구,219114
동읍            ,19672
북면            ,43223
대산면          ,7352
의창동          ,50306
팔룡동          ,26510
명곡동          ,41341
봉림동          ,30710
성산구,252233
반송동          ,40410
용지동          ,28093
중앙동,35737
상남동          ,27309
사파동          ,46373
가음정동        ,39875
성주동          ,26246
웅남동          ,8190
마산합포구,182021
구산면          ,4338
진동면          ,12108
진북면          ,3653
진전면          ,3891
현동            ,14031
가포동          ,2213
월영동          ,42718
문화동          ,11270
반월중앙동      ,14126
완월동          ,8925
자산동          ,10077
교방동          ,16086
오동동,19276
합포동          ,7108
산호동          ,12201
마산회원구,186191
내서읍          ,62991
회원1동         ,10102
회원2동         ,9987
석전동          ,16736
회성동          ,5857
양덕1동         ,10949
양덕2동         ,30831
합성1동         ,9150
합성2동         ,7680
구암1동         ,8801
구암2동         ,9377
봉암동          ,3730
진해구,197371
충무동          ,16686
여좌동          ,8498
태백동          ,3781
경화동          ,10975
병암동          ,7351
석동            ,17551
이동            ,8549
자은동          ,21094
덕산동          ,10003
풍호동          ,25468
웅천동          ,13203
웅동1동         ,8460
웅동2동         ,45752
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
