행정동,소계
합  계,1064489
의창구,257631
동읍            ,21347
북면            ,42854
대산면          ,7840
의창동          ,34752
팔룡동          ,39407
명곡동          ,46683
봉림동          ,32544
용지동          ,32204
성산구,228410
반송동          ,44022
중앙동          ,24845
상남동          ,29665
사파동          ,48655
가음정동        ,43585
성주동          ,28104
웅남동          ,9534
마산합포구,182163
구산면          ,4761
진동면          ,13140
진북면          ,4192
진전면          ,4272
현동            ,14723
가포동          ,714
월영동          ,32856
문화동          ,12173
반월중앙동      ,16093
완월동          ,10016
자산동          ,11814
교방동          ,8887
노산동          ,6515
오동동          ,20824
합포동          ,7502
산호동          ,13681
마산회원구,199294
내서읍          ,68805
회원1동         ,11552
회원2동         ,8126
석전동          ,14357
회성동          ,6960
양덕1동         ,12206
양덕2동         ,33671
합성1동         ,9920
합성2동         ,8789
구암1동         ,10022
구암2동         ,10456
봉암동          ,4430
진해구,196991
중앙동          ,8175
태평동          ,6268
충무동          ,3835
여좌동          ,9424
태백동          ,5567
경화동          ,11679
병암동          ,7959
석동            ,17865
이동            ,9156
자은동          ,21741
덕산동          ,10594
풍호동          ,26708
웅천동          ,11230
웅동1동         ,7559
웅동2동         ,39231
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
