행정동,소계
합  계,1068955
의창구,256703
동읍            ,21901
북면            ,41141
대산면          ,7319
의창동          ,35447
팔룡동          ,36981
명곡동          ,47774
봉림동          ,33289
용지동          ,32851
성산구,231250
반송동          ,44804
중앙동          ,25186
상남동          ,30059
사파동          ,49489
가음정동        ,44038
성주동          ,27906
웅남동          ,9768
마산합포구,182772
구산면          ,4857
진동면          ,13280
진북면          ,4269
진전면          ,4280
현동            ,13826
가포동          ,740
월영동          ,32514
문화동          ,12287
반월중앙동      ,16335
완월동          ,10223
자산동          ,12017
교방동          ,9064
노산동          ,6590
오동동          ,21080
합포동          ,7648
산호동          ,13762
마산회원구,201565
내서읍          ,69521
회원1동         ,11744
회원2동         ,8440
석전동          ,14552
회성동          ,7122
양덕1동         ,12340
양덕2동         ,33913
합성1동         ,9770
합성2동         ,8806
구암1동         ,10205
구암2동         ,10601
봉암동          ,4551
진해구,196665
중앙동          ,8457
태평동          ,6335
충무동          ,3898
여좌동          ,9705
태백동          ,5766
경화동          ,11517
병암동          ,8025
석동            ,18030
이동            ,9496
자은동          ,20672
덕산동          ,10810
풍호동          ,26759
웅천동          ,10682
웅동1동         ,7596
웅동2동         ,38917
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
