행정동,소계
합  계,1025133
의창구,216234
동읍            ,18904
북면            ,43380
대산면          ,7233
의창동          ,49427
팔룡동          ,26288
명곡동          ,40225
봉림동          ,30777
성산구,248535
반송동          ,39938
용지동          ,27083
중앙동,36397
상남동          ,26925
사파동          ,45694
가음정동        ,38291
성주동          ,26032
웅남동          ,8175
마산합포구,182005
구산면          ,4167
진동면          ,11961
진북면          ,3640
진전면          ,3832
현동            ,13738
가포동          ,3977
월영동          ,42005
문화동          ,11115
반월중앙동      ,13445
완월동          ,8593
자산동          ,9285
교방동          ,19108
오동동,18598
합포동          ,6755
산호동          ,11786
마산회원구,183027
내서읍          ,60805
회원1동         ,9783
회원2동         ,9729
석전동          ,16240
회성동          ,5411
양덕1동         ,10643
양덕2동         ,32636
합성1동         ,8877
합성2동         ,7415
구암1동         ,8498
구암2동         ,9171
봉암동          ,3819
진해구,195332
충무동          ,16056
여좌동          ,8071
태백동          ,3560
경화동          ,10676
병암동          ,7071
석동            ,17427
이동            ,8532
자은동          ,20514
덕산동          ,9484
풍호동          ,25104
웅천동          ,13788
웅동1동         ,8470
웅동2동         ,46579
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
