행정동,소계
합  계,1076260
의창구,255541
동읍            ,23181
북면            ,30635
대산면          ,7578
의창동          ,37779
팔룡동          ,39203
명곡동          ,51308
봉림동          ,36434
용지동          ,29423
성산구,233946
반송동          ,47133
중앙동          ,25789
상남동          ,31706
사파동          ,52936
가음정동        ,37389
성주동          ,28417
웅남동          ,10576
마산합포구,183455
구산면          ,4995
진동면          ,13443
진북면          ,4418
진전면          ,4429
현동            ,9875
가포동          ,1015
월영동          ,30754
문화동          ,12622
반월중앙동      ,17235
완월동          ,10871
자산동          ,12726
교방동          ,10136
노산동          ,7327
오동동          ,21849
합포동          ,8146
산호동          ,13614
마산회원구,211750
내서읍          ,71725
회원1동         ,12323
회원2동         ,11828
석전동          ,15553
회성동          ,7604
양덕1동         ,12829
양덕2동         ,35424
합성1동         ,7582
합성2동         ,10042
구암1동         ,10923
구암2동         ,11165
봉암동          ,4752
진해구,191568
중앙동          ,8907
태평동          ,6683
충무동          ,4280
여좌동          ,10672
태백동          ,6254
경화동          ,11272
병암동          ,8537
석동            ,18896
이동            ,10608
자은동          ,17173
덕산동          ,11748
풍호동          ,27229
웅천동          ,4493
웅동1동         ,8126
웅동2동         ,36690
"   * 마산합포구 오동동 : 오동동+성호동+동서동(통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(통합) 
   * 마산회원구 석전동 : 석전1동+석전2동(통합) ",
