행정동,소계
합  계,1063600
의창구,257695
동읍            ,21296
북면            ,42910
대산면          ,7829
의창동          ,35167
팔룡동          ,39399
명곡동          ,46543
봉림동          ,32445
용지동          ,32106
성산구,228010
반송동          ,43995
중앙동          ,24790
상남동          ,29673
사파동          ,48514
가음정동        ,43467
성주동          ,28075
웅남동          ,9496
마산합포구,182075
구산면          ,4747
진동면          ,13157
진북면          ,4163
진전면          ,4271
현동            ,14747
가포동          ,723
월영동          ,32929
문화동          ,12164
반월중앙동      ,16063
완월동          ,9982
자산동          ,11825
교방동          ,8859
노산동          ,6512
오동동          ,20813
합포동          ,7453
산호동          ,13667
마산회원구,198866
내서읍          ,68773
회원1동         ,11516
회원2동         ,8100
석전동          ,14306
회성동          ,6925
양덕1동         ,12157
양덕2동         ,33613
합성1동         ,9924
합성2동         ,8723
구암1동         ,10018
구암2동         ,10444
봉암동          ,4367
진해구,196954
중앙동          ,8139
태평동          ,6267
충무동          ,3802
여좌동          ,9401
태백동          ,5563
경화동          ,11727
병암동          ,7931
석동            ,17833
이동            ,9112
자은동          ,21841
덕산동          ,10580
풍호동          ,26689
웅천동          ,11258
웅동1동         ,7538
웅동2동         ,39273
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
