행정동,소계
합  계,1038170
의창구,219181
동읍            ,19689
북면            ,43210
대산면          ,7357
의창동          ,50287
팔룡동          ,26446
명곡동          ,41471
봉림동          ,30721
성산구,252802
반송동          ,40542
중앙동          ,35692
용지동          ,28687
상남동          ,27365
사파동          ,46281
가음정동        ,39921
성주동          ,26123
웅남동          ,8191
마산합포구,182411
구산면          ,4343
진동면          ,12149
진북면          ,3652
진전면          ,3902
현동            ,14032
가포동          ,2129
월영동          ,42703
문화동          ,11266
반월중앙동      ,14242
완월동          ,8948
자산동          ,10133
오동동          ,19325
교방동          ,16178
합포동          ,7197
산호동          ,12212
마산회원구,186531
내서읍          ,63098
회원1동         ,10144
회원2동         ,10026
석전동          ,16740
회성동          ,5903
양덕1동         ,10972
양덕2동         ,30853
합성1동         ,9190
합성2동         ,7702
구암1동         ,8810
구암2동         ,9378
봉암동          ,3715
진해구,197245
충무동          ,16689
여좌동          ,8530
태백동          ,3804
경화동          ,11009
병암동          ,7386
석동            ,17516
이동            ,8601
자은동          ,21113
덕산동          ,10038
풍호동          ,25471
웅천동          ,13182
웅동1동         ,8312
웅동2동         ,45594
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
