행정동,소계
합  계,1031231
의창구,218437
동읍            ,19354
북면            ,43389
대산면          ,7306
의창동          ,50099
팔룡동          ,26532
명곡동          ,40963
봉림동          ,30794
성산구,250799
반송동          ,40233
용지동          ,27460
중앙동,35841
상남동          ,27178
사파동          ,46284
가음정동        ,39384
성주동          ,26215
웅남동          ,8204
마산합포구,180797
구산면          ,4273
진동면          ,12073
진북면          ,3683
진전면          ,3870
현동            ,13954
가포동          ,2335
월영동          ,42459
문화동          ,11291
반월중앙동      ,13901
완월동          ,8807
자산동          ,9886
교방동          ,16022
오동동,19086
합포동          ,7056
산호동          ,12101
마산회원구,184638
내서읍          ,62432
회원1동         ,10014
회원2동         ,9952
석전동          ,16629
회성동          ,5694
양덕1동         ,10855
양덕2동         ,30725
합성1동         ,9034
합성2동         ,7578
구암1동         ,8676
구암2동         ,9314
봉암동          ,3735
진해구,196560
충무동          ,16494
여좌동          ,8291
태백동          ,3669
경화동          ,10877
병암동          ,7258
석동            ,17620
이동            ,8562
자은동          ,20907
덕산동          ,9897
풍호동          ,25309
웅천동          ,13309
웅동1동         ,8598
웅동2동         ,45769
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
