행정동,소계
합  계,1027776
의창구,217694
동읍            ,19164
북면            ,43499
대산면          ,7285
의창동          ,49860
팔룡동          ,26452
명곡동          ,40630
봉림동          ,30804
성산구,249839
반송동          ,40172
용지동          ,27265
중앙동,35962
상남동          ,27089
사파동          ,46100
가음정동        ,38871
성주동          ,26138
웅남동          ,8242
마산합포구,180979
구산면          ,4239
진동면          ,12046
진북면          ,3686
진전면          ,3826
현동            ,13896
가포동          ,2386
월영동          ,42574
문화동          ,11238
반월중앙동      ,13786
완월동          ,8764
자산동          ,9559
교방동          ,17210
오동동,18812
합포동          ,6971
산호동          ,11986
마산회원구,183485
내서읍          ,61884
회원1동         ,9918
회원2동         ,9863
석전동          ,16553
회성동          ,5558
양덕1동         ,10791
양덕2동         ,30649
합성1동         ,9014
합성2동         ,7592
구암1동         ,8637
구암2동         ,9251
봉암동          ,3775
진해구,195779
충무동          ,16342
여좌동          ,8240
태백동          ,3620
경화동          ,10830
병암동          ,7211
석동            ,17465
이동            ,8544
자은동          ,20818
덕산동          ,9787
풍호동          ,25333
웅천동          ,13303
웅동1동         ,8616
웅동2동         ,45670
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
