행정동,소계
합  계,1071415
의창구,257496
동읍            ,22437
북면            ,38455
대산면          ,7276
의창동          ,36132
팔룡동          ,37550
명곡동          ,48973
봉림동          ,34147
용지동          ,32526
성산구,232109
반송동          ,45227
중앙동          ,25283
상남동          ,30210
사파동          ,50218
가음정동        ,43860
성주동          ,27313
웅남동          ,9998
마산합포구,184079
구산면          ,4928
진동면          ,13333
진북면          ,4327
진전면          ,4353
현동            ,13648
가포동          ,899
월영동          ,32210
문화동          ,12335
반월중앙동      ,16584
완월동          ,10462
자산동          ,12179
교방동          ,9241
노산동          ,6740
오동동          ,21258
합포동          ,7862
산호동          ,13720
마산회원구,203175
내서읍          ,70263
회원1동         ,11990
회원2동         ,8930
석전동          ,14944
회성동          ,7293
양덕1동         ,12499
양덕2동         ,34615
합성1동         ,7309
합성2동         ,9272
구암1동         ,10566
구암2동         ,10829
봉암동          ,4665
진해구,194556
중앙동          ,8553
태평동          ,6444
충무동          ,4016
여좌동          ,10077
태백동          ,5938
경화동          ,11417
병암동          ,8186
석동            ,18287
이동            ,9818
자은동          ,19941
덕산동          ,11083
풍호동          ,26810
웅천동          ,7733
웅동1동         ,7709
웅동2동         ,38544
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
