행정동,소계
합  계,1085667
의창구,258704
동읍            ,23196
북면            ,29282
대산면          ,7731
의창동          ,38377
팔룡동          ,39941
명곡동          ,52533
봉림동          ,37244
용지동          ,30400
성산구,237701
반송동          ,47924
중앙동          ,25478
상남동          ,32068
사파동          ,53917
가음정동        ,38189
성주동          ,28967
웅남동          ,11158
마산합포구,184685
구산면          ,5024
진동면          ,13029
진북면          ,4495
진전면          ,4498
현동            ,9126
가포동          ,1123
월영동          ,30633
문화동          ,12789
반월동          ,8825
중앙동          ,8579
완월동          ,11074
자산동          ,12967
동서동          ,11362
성호동          ,4334
교방동          ,10857
노산동          ,7461
오동동          ,6559
합포동          ,8185
산호동          ,13765
마산회원구,214416
내서읍          ,72158
회원1동         ,12204
회원2동         ,13274
석전1동         ,6368
석전2동         ,9926
회성동          ,7684
양덕1동         ,13058
양덕2동         ,34257
합성1동         ,7828
합성2동         ,10225
구암1동         ,11156
구암2동         ,11395
봉암동          ,4883
진해구,190161
중앙동          ,9159
태평동          ,6767
충무동          ,4391
여좌동          ,11025
태백동          ,6471
경화동          ,10691
병암동          ,8651
석동            ,19248
이동            ,10856
자은동          ,15742
덕산동          ,12021
풍호동          ,25036
웅천동          ,4975
웅동1동         ,9218
웅동2동         ,35910
