행정동,소계
합  계,1077497
의창구,255875
동읍            ,23161
북면            ,30188
대산면          ,7592
의창동          ,37977
팔룡동          ,39293
명곡동          ,51511
봉림동          ,36573
용지동          ,29580
성산구,234787
반송동          ,47281
중앙동          ,25706
상남동          ,31834
사파동          ,53134
가음정동        ,37499
성주동          ,28649
웅남동          ,10684
마산합포구,183713
구산면          ,4996
진동면          ,13411
진북면          ,4458
진전면          ,4435
현동            ,9843
가포동          ,1014
월영동          ,30795
문화동          ,12602
반월중앙동      ,17272
완월동          ,10943
자산동          ,12750
교방동          ,10160
노산동          ,7354
오동동          ,21924
합포동          ,8155
산호동          ,13601
마산회원구,212188
내서읍          ,71789
회원1동         ,12334
회원2동         ,11979
석전동          ,15660
회성동          ,7601
양덕1동         ,12873
양덕2동         ,35446
합성1동         ,7570
합성2동         ,9996
구암1동         ,10971
구암2동         ,11211
봉암동          ,4758
진해구,190934
중앙동          ,8911
태평동          ,6714
충무동          ,4295
여좌동          ,10737
태백동          ,6292
경화동          ,10828
병암동          ,8601
석동            ,19057
이동            ,10656
자은동          ,16575
덕산동          ,11747
풍호동          ,27220
웅천동          ,4523
웅동1동         ,8150
웅동2동         ,36628
"   * 마산합포구 오동동 : 오동동+성호동+동서동(통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(통합) 
   * 마산회원구 석전동 : 석전1동+석전2동(통합) ",
