행정동,소계
합  계,1047429
의창구,221306
동읍            ,19977
북면            ,43651
대산면          ,7459
의창동          ,50903
팔룡동          ,26521
명곡동          ,42153
봉림동          ,30642
성산구,256765
반송동          ,41602
용지동          ,29920
중앙동          ,35682
상남동          ,28060
사파동          ,45341
가음정동        ,40961
성주동          ,26674
웅남동          ,8525
마산합포구,182531
구산면          ,4396
진동면          ,12359
진북면          ,3746
진전면          ,4012
현동            ,14220
가포동          ,993
월영동          ,42066
문화동          ,11282
반월중앙동      ,14658
완월동          ,9092
자산동          ,10495
교방동          ,16046
오동동          ,19540
합포동          ,7188
산호동          ,12438
마산회원구,190094
내서읍          ,64285
회원1동         ,10327
회원2동         ,10089
석전동          ,17138
회성동          ,6153
양덕1동         ,11136
양덕2동         ,31479
합성1동         ,9407
합성2동         ,7710
구암1동         ,9000
구암2동         ,9609
봉암동          ,3761
진해구,196733
충무동          ,17071
여좌동          ,8594
태백동          ,4887
경화동          ,11228
병암동          ,7530
석동            ,17608
이동            ,8654
자은동          ,21456
덕산동          ,10205
풍호동          ,25916
웅천동          ,13148
웅동1동         ,7020
웅동2동         ,43416
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
