행정동,소계
합  계,1018209
의창구,214101
동읍,18499
북면,44391
대산면,7144
의창동,48492
팔룡동,25559
명곡동,39903
봉림동,30113
성산구,248755
반송동,39138
용지동,26410
중앙동,39563
상남동,26395
사파동,44417
가음정동,37623
성주동,27275
웅남동,7934
마산합포구,180153
구산면,4139
진동면,11776
진북면,3555
진전면,3788
현동,13588
가포동,5226
월영동,41427
문화동,10915
반월중앙동,13191
완월동,8332
자산동,8903
교방동,18924
오동동,18285
합포동,6622
산호동,11482
마산회원구,181956
내서읍,59303
회원1동,9481
회원2동,9492
석전동,15799
회성동,5177
양덕1동,10282
양덕2동,34194
합성1동,8608
합성2동,8847
구암1동,8088
구암2동,8955
봉암동,3730
진해구,193244
충무동,15582
여좌동,7848
태백동,3442
경화동,10437
병암동,6845
석동,17117
이동,8389
자은동,20151
덕산동,9216
풍호동,24766
웅천동,14428
웅동1동,8370
웅동2동,46653
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행) ,
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
