행정동,소계
합  계,1039398
의창구,219637
동읍            ,19756
북면            ,43222
대산면          ,7380
의창동          ,50329
팔룡동          ,26422
명곡동          ,41819
봉림동          ,30709
성산구,253211
반송동          ,40623
중앙동          ,35669
용지동          ,28850
상남동          ,27414
사파동          ,46308
가음정동        ,39960
성주동          ,26159
웅남동          ,8228
마산합포구,182512
구산면          ,4350
진동면          ,12170
진북면          ,3660
진전면          ,3905
현동            ,14070
가포동          ,1905
월영동          ,42759
문화동          ,11269
반월중앙동      ,14254
완월동          ,8982
자산동          ,10134
오동동          ,19381
교방동          ,16203
합포동          ,7228
산호동          ,12242
마산회원구,186808
내서읍          ,63167
회원1동         ,10159
회원2동         ,10050
석전동          ,16758
회성동          ,5933
양덕1동         ,10963
양덕2동         ,30917
합성1동         ,9217
합성2동         ,7707
구암1동         ,8843
구암2동         ,9389
봉암동          ,3705
진해구,197230
충무동          ,16722
여좌동          ,8532
태백동          ,3805
경화동          ,11052
병암동          ,7394
석동            ,17505
이동            ,8605
자은동          ,21140
덕산동          ,10058
풍호동          ,25474
웅천동          ,13184
웅동1동         ,8231
웅동2동         ,45528
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
