행정동,소계
합  계,1087008
의창구,261688
동읍            ,23373
북면            ,29060
대산면          ,7814
의창동          ,38476
팔룡동          ,40837
명곡동          ,53249
봉림동          ,37850
용지동          ,31029
성산구,240846
반송동          ,48367
중앙동          ,25896
상남동          ,32370
사파동          ,54585
가음정동        ,38845
성주동          ,29358
웅남동          ,11425
마산합포구,183541
구산면          ,5153
진동면          ,12946
진북면          ,4650
진전면          ,4524
현동            ,3974
가포동          ,1314
월영동          ,31434
문화동          ,13249
반월동          ,9075
중앙동          ,8883
완월동          ,11403
자산동          ,13325
동서동          ,11701
성호동          ,4476
교방동          ,11245
노산동          ,7578
오동동          ,6658
합포동          ,7639
산호동          ,14314
마산회원구,213810
내서읍          ,72788
회원1동         ,12361
회원2동         ,13694
석전1동         ,7778
석전2동         ,10032
회성동          ,7820
양덕1동         ,13346
양덕2동         ,29290
합성1동         ,8270
합성2동         ,10456
구암1동         ,11409
구암2동         ,11510
봉암동          ,5056
진해구,187123
중앙동          ,9393
태평동          ,6841
충무동          ,4533
여좌동          ,11316
태백동          ,6661
경화동          ,10937
병암동          ,8808
석동            ,19634
이동            ,11146
자은동          ,15597
덕산동          ,12289
풍호동          ,19514
웅천동          ,5053
웅동1동         ,9393
웅동2동         ,36008
