행정동,소계
합  계,1026686
의창구,216626
동읍            ,18994
북면            ,43443
대산면          ,7248
의창동          ,49570
팔룡동          ,26349
명곡동          ,40357
봉림동          ,30665
성산구,249130
반송동          ,40036
용지동          ,27124
중앙동,36313
상남동          ,27033
사파동          ,45936
가음정동        ,38450
성주동          ,26051
웅남동          ,8187
마산합포구,181692
구산면          ,4204
진동면          ,11993
진북면          ,3662
진전면          ,3834
현동            ,13827
가포동          ,2911
월영동          ,42124
문화동          ,11123
반월중앙동      ,13567
완월동          ,8651
자산동          ,9373
교방동          ,19087
오동동,18675
합포동          ,6817
산호동          ,11844
마산회원구,183389
내서읍          ,61093
회원1동         ,9796
회원2동         ,9749
석전동          ,16338
회성동          ,5487
양덕1동         ,10705
양덕2동         ,32323
합성1동         ,8921
합성2동         ,7430
구암1동         ,8537
구암2동         ,9176
봉암동          ,3834
진해구,195849
충무동          ,16232
여좌동          ,8127
태백동          ,3574
경화동          ,10682
병암동          ,7131
석동            ,17479
이동            ,8562
자은동          ,20620
덕산동          ,9602
풍호동          ,25246
웅천동          ,13382
웅동1동         ,8542
웅동2동         ,46670
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
