행정동,소계
합  계,1023978
의창구,214771
동읍            ,18745
북면            ,43276
대산면          ,7217
의창동          ,49147
팔룡동          ,26061
명곡동          ,39820
봉림동          ,30505
성산구,250157
반송동          ,39505
용지동          ,26915
중앙동,39248
상남동          ,26711
사파동          ,45113
가음정동        ,38046
성주동          ,26549
웅남동          ,8070
마산합포구,181998
구산면          ,4141
진동면          ,11915
진북면          ,3612
진전면          ,3818
현동            ,13700
가포동          ,4644
월영동          ,41861
문화동          ,11062
반월중앙동      ,13420
완월동          ,8526
자산동          ,9185
교방동          ,19121
오동동,18494
합포동          ,6751
산호동          ,11748
마산회원구,182025
내서읍          ,60419
회원1동         ,9720
회원2동         ,9662
석전동          ,16153
회성동          ,5329
양덕1동         ,10616
양덕2동         ,32684
합성1동         ,8819
합성2동         ,7322
구암1동         ,8383
구암2동         ,9135
봉암동          ,3783
진해구,195027
충무동          ,15942
여좌동          ,7996
태백동          ,3540
경화동          ,10655
병암동          ,7014
석동            ,17377
이동            ,8478
자은동          ,20358
덕산동          ,9376
풍호동          ,24987
웅천동          ,14116
웅동1동         ,8444
웅동2동         ,46744
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
