행정동,소계
합  계,1033056
의창구,218537
동읍            ,19429
북면            ,43314
대산면          ,7299
의창동          ,50257
팔룡동          ,26538
명곡동          ,41136
봉림동          ,30564
성산구,251360
반송동          ,40309
용지동          ,27466
중앙동,35693
상남동          ,27299
사파동          ,46337
가음정동        ,39778
성주동          ,26284
웅남동          ,8194
마산합포구,181110
구산면          ,4281
진동면          ,12102
진북면          ,3639
진전면          ,3859
현동            ,13994
가포동          ,2339
월영동          ,42457
문화동          ,11278
반월중앙동      ,13940
완월동          ,8860
자산동          ,9993
교방동          ,16037
오동동,19137
합포동          ,7079
산호동          ,12115
마산회원구,185115
내서읍          ,62536
회원1동         ,10023
회원2동         ,9948
석전동          ,16733
회성동          ,5752
양덕1동         ,10896
양덕2동         ,30736
합성1동         ,9031
합성2동         ,7627
구암1동         ,8722
구암2동         ,9368
봉암동          ,3743
진해구,196934
충무동          ,16619
여좌동          ,8364
태백동          ,3692
경화동          ,10911
병암동          ,7291
석동            ,17620
이동            ,8582
자은동          ,20954
덕산동          ,9944
풍호동          ,25313
웅천동          ,13303
웅동1동         ,8529
웅동2동         ,45812
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
