행정동,소계
합  계,1072834
의창구,256521
동읍            ,22611
북면            ,36034
대산면          ,7467
의창동          ,36770
팔룡동          ,38156
명곡동          ,49963
봉림동          ,35000
용지동          ,30520
성산구,232648
반송동          ,45943
중앙동          ,25472
상남동          ,30733
사파동          ,51130
가음정동        ,41419
성주동          ,27700
웅남동          ,10251
마산합포구,184034
구산면          ,4942
진동면          ,13426
진북면          ,4353
진전면          ,4403
현동            ,13442
가포동          ,935
월영동          ,31354
문화동          ,12288
반월중앙동      ,16883
완월동          ,10597
자산동          ,12332
교방동          ,9464
노산동          ,6865
오동동          ,21316
합포동          ,8022
산호동          ,13412
마산회원구,206849
내서읍          ,70772
회원1동         ,12221
회원2동         ,10016
석전동          ,15177
회성동          ,7490
양덕1동         ,12598
양덕2동         ,35020
합성1동         ,7413
합성2동         ,9802
구암1동         ,10709
구암2동         ,10893
봉암동          ,4738
진해구,192782
중앙동          ,8735
태평동          ,6472
충무동          ,4154
여좌동          ,10362
태백동          ,6104
경화동          ,11574
병암동          ,8340
석동            ,18539
이동            ,10166
자은동          ,18236
덕산동          ,11430
풍호동          ,27040
웅천동          ,6060
웅동1동         ,7846
웅동2동         ,37724
"   * 마산합포구 오동동 : 오동동+성호동+동서동(통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(통합) 
   * 마산회원구 석전동 : 석전1동+석전2동(통합) ",
