행정동,소계
합  계,1066491
의창구,257976
동읍            ,21519
북면            ,42518
대산면          ,7812
의창동          ,34924
팔룡동          ,39095
명곡동          ,47011
봉림동          ,32745
용지동          ,32352
성산구,229166
반송동          ,44256
중앙동          ,24918
상남동          ,29765
사파동          ,48843
가음정동        ,43798
성주동          ,28011
웅남동          ,9575
마산합포구,182536
구산면          ,4790
진동면          ,13168
진북면          ,4230
진전면          ,4281
현동            ,14643
가포동          ,713
월영동          ,32716
문화동          ,12227
반월중앙동      ,16135
완월동          ,10063
자산동          ,11896
교방동          ,8942
노산동          ,6516
오동동          ,20940
합포동          ,7564
산호동          ,13712
마산회원구,200009
내서읍          ,68995
회원1동         ,11619
회원2동         ,8224
석전동          ,14422
회성동          ,7005
양덕1동         ,12292
양덕2동         ,33686
합성1동         ,9894
합성2동         ,8781
구암1동         ,10113
구암2동         ,10506
봉암동          ,4472
진해구,196804
중앙동          ,8205
태평동          ,6247
충무동          ,3852
여좌동          ,9470
태백동          ,5641
경화동          ,11614
병암동          ,7985
석동            ,17889
이동            ,9222
자은동          ,21657
덕산동          ,10632
풍호동          ,26697
웅천동          ,11131
웅동1동         ,7529
웅동2동         ,39033
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
