행정동,소계
합  계,1024671
의창구,215913
동읍            ,18862
북면            ,43397
대산면          ,7230
의창동          ,49352
팔룡동          ,26222
명곡동          ,40126
봉림동          ,30724
성산구,248659
반송동          ,39836
용지동          ,27038
중앙동,36968
상남동          ,26854
사파동          ,45514
가음정동        ,38245
성주동          ,26068
웅남동          ,8136
마산합포구,182041
구산면          ,4152
진동면          ,11951
진북면          ,3618
진전면          ,3831
현동            ,13730
가포동          ,4259
월영동          ,41966
문화동          ,11122
반월중앙동      ,13427
완월동          ,8571
자산동          ,9249
교방동          ,19104
오동동,18542
합포동          ,6748
산호동          ,11771
마산회원구,182747
내서읍          ,60640
회원1동         ,9756
회원2동         ,9726
석전동          ,16236
회성동          ,5395
양덕1동         ,10658
양덕2동         ,32683
합성1동         ,8852
합성2동         ,7385
구암1동         ,8467
구암2동         ,9160
봉암동          ,3789
진해구,195311
충무동          ,16039
여좌동          ,8042
태백동          ,3556
경화동          ,10672
병암동          ,7055
석동            ,17403
이동            ,8519
자은동          ,20446
덕산동          ,9458
풍호동          ,25066
웅천동          ,13957
웅동1동         ,8473
웅동2동         ,46625
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
