행정동,소계
합  계,1058965
의창구,265562
동읍            ,20843
북면            ,42720
대산면          ,7738
의창동          ,49167
팔룡동          ,37845
명곡동          ,44534
봉림동          ,31580
용지동          ,31135
성산구,222556
반송동          ,43010
중앙동          ,24326
상남동          ,28964
사파동          ,47141
가음정동        ,42407
성주동          ,27574
웅남동          ,9134
마산합포구,178607
구산면          ,4658
진동면          ,12829
진북면          ,4105
진전면          ,4188
현동            ,14683
가포동          ,702
월영동          ,32972
문화동          ,11819
반월중앙동      ,15594
완월동          ,9701
자산동          ,11383
교방동          ,14844
오동동          ,20585
합포동          ,7223
산호동          ,13321
마산회원구,195830
내서읍          ,67016
회원1동         ,11162
회원2동         ,7814
석전동          ,16806
회성동          ,6646
양덕1동         ,11788
양덕2동         ,32555
합성1동         ,9787
합성2동         ,8358
구암1동         ,9606
구암2동         ,10128
봉암동          ,4164
진해구,196410
충무동          ,17930
여좌동          ,9090
태백동          ,5347
경화동          ,11627
병암동          ,7748
석동            ,17625
이동            ,8769
자은동          ,21848
덕산동          ,10374
풍호동          ,26429
웅천동          ,12644
웅동1동         ,7343
웅동2동         ,39636
"   * 마산합포구 교방동 : 교방동+노산동(2020.1.1.통합) 
   * 진해구 충무동 : 중앙동+태평동+충무동(2020.1.1.통합)",
