행정동,소계
합  계,1026290
의창구,217159
동읍            ,19112
북면            ,43412
대산면          ,7261
의창동          ,49779
팔룡동          ,26402
명곡동          ,40432
봉림동          ,30761
성산구,249430
반송동          ,40124
용지동          ,27166
중앙동,35998
상남동          ,27091
사파동          ,46080
가음정동        ,38652
성주동          ,26117
웅남동          ,8202
마산합포구,181740
구산면          ,4232
진동면          ,12010
진북면          ,3663
진전면          ,3819
현동            ,13821
가포동          ,2603
월영동          ,42376
문화동          ,11162
반월중앙동      ,13664
완월동          ,8700
자산동          ,9497
교방동          ,18646
오동동,18761
합포동          ,6891
산호동          ,11895
마산회원구,182532
내서읍          ,61631
회원1동         ,9833
회원2동         ,9764
석전동          ,16428
회성동          ,5500
양덕1동         ,10721
양덕2동         ,30576
합성1동         ,8943
합성2동         ,7531
구암1동         ,8598
구암2동         ,9229
봉암동          ,3778
진해구,195429
충무동          ,16314
여좌동          ,8198
태백동          ,3602
경화동          ,10749
병암동          ,7166
석동            ,17464
이동            ,8477
자은동          ,20769
덕산동          ,9735
풍호동          ,25290
웅천동          ,13384
웅동1동         ,8563
웅동2동         ,45718
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
