행정동,소계
합  계,1047726
의창구,263771
동읍            ,20048
북면            ,43657
대산면          ,7436
의창동          ,50957
팔룡동          ,38484
명곡동          ,42419
봉림동          ,30749
용지동          ,30021
성산구,215720
반송동          ,41708
중앙동          ,23879
상남동          ,28117
사파동          ,45509
가음정동        ,41137
성주동          ,26765
웅남동          ,8605
마산합포구,181427
구산면          ,4439
진동면          ,12388
진북면          ,3783
진전면          ,4038
현동            ,14273
가포동          ,1010
월영동          ,40503
문화동          ,11310
반월중앙동      ,14742
완월동          ,9171
자산동          ,10676
교방동          ,16024
오동동          ,19665
합포동          ,6854
산호동          ,12551
마산회원구,190949
내서읍          ,64456
회원1동         ,10380
회원2동         ,10112
석전동          ,17124
회성동          ,6218
양덕1동         ,11209
양덕2동         ,31636
합성1동         ,9421
합성2동         ,7822
구암1동         ,9084
구암2동         ,9661
봉암동          ,3826
진해구,195859
충무동          ,17173
여좌동          ,8697
태백동          ,4943
경화동          ,11314
병암동          ,7532
석동            ,17473
이동            ,8645
자은동          ,21555
덕산동          ,10220
풍호동          ,25960
웅천동          ,13083
웅동1동         ,7050
웅동2동         ,42214
