행정동,소계
합  계,1060914
의창구,261160
동읍            ,21048
북면            ,42986
대산면          ,7766
의창동          ,41332
팔룡동          ,38841
명곡동          ,45471
봉림동          ,32023
용지동          ,31693
성산구,225507
반송동          ,43533
중앙동          ,24500
상남동          ,29368
사파동          ,47912
가음정동        ,43028
성주동          ,27854
웅남동          ,9312
마산합포구,180718
구산면          ,4698
진동면          ,12997
진북면          ,4121
진전면          ,4207
현동            ,14784
가포동          ,716
월영동          ,33134
문화동          ,11979
반월중앙동      ,15821
완월동          ,9784
자산동          ,11598
교방동          ,8755
노산동          ,6412
오동동          ,20865
합포동          ,7343
산호동          ,13504
마산회원구,196366
내서읍          ,68082
회원1동         ,11379
회원2동         ,7925
석전동          ,14163
회성동          ,6805
양덕1동         ,12006
양덕2동         ,33266
합성1동         ,9863
합성2동         ,8494
구암1동         ,9818
구암2동         ,10290
봉암동          ,4275
진해구,197163
중앙동          ,8129
태평동          ,6186
충무동          ,3743
여좌동          ,9222
태백동          ,5411
경화동          ,11712
병암동          ,7818
석동            ,17772
이동            ,8826
자은동          ,21841
덕산동          ,10463
풍호동          ,26625
웅천동          ,12548
웅동1동         ,7382
웅동2동         ,39485
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
