행정동,소계
합  계,1046949
의창구,221140
동읍            ,19936
북면            ,43648
대산면          ,7444
의창동          ,50779
팔룡동          ,26604
명곡동          ,42106
봉림동          ,30623
성산구,256403
반송동          ,41529
용지동          ,29888
중앙동          ,35662
상남동          ,28013
사파동          ,45196
가음정동        ,40881
성주동          ,26728
웅남동          ,8506
마산합포구,182707
구산면          ,4398
진동면          ,12359
진북면          ,3729
진전면          ,3991
현동            ,14209
가포동          ,1047
월영동          ,42374
문화동          ,11248
반월중앙동      ,14596
완월동          ,9053
자산동          ,10428
교방동          ,16111
오동동          ,19519
합포동          ,7250
산호동          ,12395
마산회원구,189742
내서읍          ,64226
회원1동         ,10293
회원2동         ,10079
석전동          ,17076
회성동          ,6131
양덕1동         ,11137
양덕2동         ,31421
합성1동         ,9361
합성2동         ,7692
구암1동         ,8981
구암2동         ,9574
봉암동          ,3771
진해구,196957
충무동          ,17059
여좌동          ,8563
태백동          ,4836
경화동          ,11190
병암동          ,7526
석동            ,17608
이동            ,8679
자은동          ,21437
덕산동          ,10182
풍호동          ,25895
웅천동          ,13199
웅동1동         ,6979
웅동2동         ,43804
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
