행정동,소계
합  계,1086852
의창구,260429
동읍            ,23282
북면            ,29140
대산면          ,7794
의창동          ,38408
팔룡동          ,40406
명곡동          ,53012
봉림동          ,37619
용지동          ,30768
성산구,238867
반송동          ,48089
중앙동          ,25656
상남동          ,32174
사파동          ,54106
가음정동        ,38514
성주동          ,29061
웅남동          ,11267
마산합포구,183829
구산면          ,5090
진동면          ,12903
진북면          ,4603
진전면          ,4535
현동            ,6757
가포동          ,1244
월영동          ,30934
문화동          ,13006
반월동          ,8966
중앙동          ,8698
완월동          ,11222
자산동          ,13139
동서동          ,11494
성호동          ,4409
교방동          ,11019
노산동          ,7485
오동동          ,6616
합포동          ,7624
산호동          ,14085
마산회원구,214264
내서읍          ,72374
회원1동         ,12183
회원2동         ,13512
석전1동         ,7582
석전2동         ,9950
회성동          ,7746
양덕1동         ,13133
양덕2동         ,31750
합성1동         ,7980
합성2동         ,10338
구암1동         ,11334
구암2동         ,11444
봉암동          ,4938
진해구,189463
중앙동          ,9371
태평동          ,6777
충무동          ,4468
여좌동          ,11135
태백동          ,6581
경화동          ,10780
병암동          ,8695
석동            ,19338
이동            ,10959
자은동          ,15629
덕산동          ,12129
풍호동          ,23321
웅천동          ,5031
웅동1동         ,9355
웅동2동         ,35894
