행정동,소계
합  계,1065364
의창구,257778
동읍            ,21399
북면            ,42754
대산면          ,7858
의창동          ,34847
팔룡동          ,39256
명곡동          ,46849
봉림동          ,32564
용지동          ,32251
성산구,228864
반송동          ,44140
중앙동          ,24890
상남동          ,29701
사파동          ,48721
가음정동        ,43713
성주동          ,28146
웅남동          ,9553
마산합포구,182314
구산면          ,4769
진동면          ,13167
진북면          ,4209
진전면          ,4282
현동            ,14670
가포동          ,713
월영동          ,32833
문화동          ,12194
반월중앙동      ,16093
완월동          ,10049
자산동          ,11838
교방동          ,8927
노산동          ,6494
오동동          ,20848
합포동          ,7525
산호동          ,13703
마산회원구,199565
내서읍          ,68887
회원1동         ,11584
회원2동         ,8148
석전동          ,14373
회성동          ,6962
양덕1동         ,12249
양덕2동         ,33680
합성1동         ,9924
합성2동         ,8759
구암1동         ,10069
구암2동         ,10468
봉암동          ,4462
진해구,196843
중앙동          ,8214
태평동          ,6261
충무동          ,3832
여좌동          ,9444
태백동          ,5596
경화동          ,11625
병암동          ,7958
석동            ,17898
이동            ,9201
자은동          ,21656
덕산동          ,10608
풍호동          ,26696
웅천동          ,11196
웅동1동         ,7552
웅동2동         ,39106
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
