행정동,소계
합  계,1035475
의창구,218918
동읍            ,19548
북면            ,43313
대산면          ,7329
의창동          ,50345
팔룡동          ,26509
명곡동          ,41234
봉림동          ,30640
성산구,251969
반송동          ,40331
용지동          ,27609
중앙동,35772
상남동          ,27378
사파동          ,46495
가음정동        ,39897
성주동          ,26279
웅남동          ,8208
마산합포구,181566
구산면          ,4298
진동면          ,12091
진북면          ,3663
진전면          ,3872
현동            ,14024
가포동          ,2280
월영동          ,42596
문화동          ,11285
반월중앙동      ,14017
완월동          ,8884
자산동          ,10052
교방동          ,16056
오동동,19205
합포동          ,7094
산호동          ,12149
마산회원구,185740
내서읍          ,62866
회원1동         ,10062
회원2동         ,9970
석전동          ,16734
회성동          ,5798
양덕1동         ,10892
양덕2동         ,30823
합성1동         ,9081
합성2동         ,7658
구암1동         ,8758
구암2동         ,9370
봉암동          ,3728
진해구,197282
충무동          ,16621
여좌동          ,8436
태백동          ,3741
경화동          ,10980
병암동          ,7338
석동            ,17581
이동            ,8579
자은동          ,21040
덕산동          ,9960
풍호동          ,25430
웅천동          ,13274
웅동1동         ,8490
웅동2동         ,45812
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
