행정동,소계
합  계,1083198
의창구,257489
동읍            ,23183
북면            ,29409
대산면          ,7658
의창동          ,38185
팔룡동          ,39672
명곡동          ,52263
봉림동          ,37047
용지동          ,30072
성산구,236714
반송동          ,47820
중앙동          ,25468
상남동          ,31982
사파동          ,53643
가음정동        ,37993
성주동          ,28818
웅남동          ,10990
마산합포구,184668
구산면          ,5018
진동면          ,13315
진북면          ,4515
진전면          ,4492
현동            ,9469
가포동          ,1055
월영동          ,30531
문화동          ,12683
반월동          ,8788
중앙동          ,8593
완월동          ,10993
자산동          ,12904
동서동          ,11344
성호동          ,4248
교방동          ,10808
노산동          ,7408
오동동          ,6538
합포동          ,8182
산호동          ,13784
마산회원구,213793
내서읍          ,72070
회원1동         ,12372
회원2동         ,12449
석전1동         ,6117
석전2동         ,9841
회성동          ,7614
양덕1동         ,12955
양덕2동         ,35329
합성1동         ,7711
합성2동         ,10119
구암1동         ,11065
구암2동         ,11302
봉암동          ,4849
진해구,190534
중앙동          ,9023
태평동          ,6720
충무동          ,4352
여좌동          ,10954
태백동          ,6432
경화동          ,10586
병암동          ,8638
석동            ,19124
이동            ,10753
자은동          ,15831
덕산동          ,11921
풍호동          ,26717
웅천동          ,4731
웅동1동         ,8980
웅동2동         ,35772
