행정동,소계
합  계,1030456
의창구,218270
동읍            ,19299
북면            ,43403
대산면          ,7317
의창동          ,50037
팔룡동          ,26545
명곡동          ,40858
봉림동          ,30811
성산구,250652
반송동          ,40203
용지동          ,27414
중앙동,35926
상남동          ,27129
사파동          ,46314
가음정동        ,39227
성주동          ,26230
웅남동          ,8209
마산합포구,180655
구산면          ,4254
진동면          ,12136
진북면          ,3679
진전면          ,3876
현동            ,13959
가포동          ,2323
월영동          ,42476
문화동          ,11265
반월중앙동      ,13892
완월동          ,8805
자산동          ,9842
교방동          ,16001
오동동,19041
합포동          ,7033
산호동          ,12073
마산회원구,184415
내서읍          ,62282
회원1동         ,9996
회원2동         ,9953
석전동          ,16634
회성동          ,5615
양덕1동         ,10850
양덕2동         ,30690
합성1동         ,9038
합성2동         ,7611
구암1동         ,8691
구암2동         ,9303
봉암동          ,3752
진해구,196464
충무동          ,16502
여좌동          ,8279
태백동          ,3642
경화동          ,10875
병암동          ,7267
석동            ,17578
이동            ,8560
자은동          ,20899
덕산동          ,9896
풍호동          ,25312
웅천동          ,13303
웅동1동         ,8597
웅동2동         ,45754
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
