행정동,소계
합  계,1053611
의창구,266832
동읍            ,20512
북면            ,43107
대산면          ,7631
의창동          ,51268
팔룡동          ,38685
명곡동          ,43772
봉림동          ,31163
용지동          ,30694
성산구,220032
반송동          ,42607
중앙동          ,24071
상남동          ,28702
사파동          ,46503
가음정동        ,41922
성주동          ,27240
웅남동          ,8987
마산합포구,176758
구산면          ,4575
진동면          ,12698
진북면          ,3980
진전면          ,4117
현동            ,14616
가포동          ,681
월영동          ,33088
문화동          ,11667
반월중앙동      ,15321
완월동          ,9568
자산동          ,11259
교방동          ,14617
오동동          ,20285
합포동          ,7158
산호동          ,13128
마산회원구,194074
내서읍          ,66253
회원1동         ,10952
회원2동         ,7621
석전동          ,17519
회성동          ,6497
양덕1동         ,11572
양덕2동         ,32466
합성1동         ,9670
합성2동         ,8124
구암1동         ,9416
구암2동         ,9971
봉암동          ,4013
진해구,195915
충무동          ,17696
여좌동          ,9008
태백동          ,5248
경화동          ,11519
병암동          ,7610
석동            ,17556
이동            ,8736
자은동          ,21714
덕산동          ,10312
풍호동          ,26334
웅천동          ,12859
웅동1동         ,7213
웅동2동         ,40110
"   * 마산합포구 교방동 : 교방동+노산동(2020.1.1.통합) 
   * 진해구 충무동 : 중앙동+태평동+충무동(2020.1.1.통합)",
