행정동,소계
합  계,1069650
의창구,256805
동읍            ,21952
북면            ,40967
대산면          ,7292
의창동          ,35536
팔룡동          ,36870
명곡동          ,47907
봉림동          ,33422
용지동          ,32859
성산구,231654
반송동          ,44944
중앙동          ,25197
상남동          ,30102
사파동          ,49510
가음정동        ,44095
성주동          ,28003
웅남동          ,9803
마산합포구,183058
구산면          ,4876
진동면          ,13275
진북면          ,4298
진전면          ,4291
현동            ,13828
가포동          ,754
월영동          ,32532
문화동          ,12311
반월중앙동      ,16373
완월동          ,10243
자산동          ,12045
교방동          ,9071
노산동          ,6604
오동동          ,21073
합포동          ,7680
산호동          ,13804
마산회원구,201842
내서읍          ,69607
회원1동         ,11752
회원2동         ,8509
석전동          ,14601
회성동          ,7141
양덕1동         ,12326
양덕2동         ,33895
합성1동         ,9706
합성2동         ,8856
구암1동         ,10239
구암2동         ,10628
봉암동          ,4582
진해구,196291
중앙동          ,8453
태평동          ,6355
충무동          ,3951
여좌동          ,9779
태백동          ,5788
경화동          ,11362
병암동          ,8053
석동            ,18102
이동            ,9584
자은동          ,20305
덕산동          ,10870
풍호동          ,26774
웅천동          ,10477
웅동1동         ,7599
웅동2동         ,38839
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
