행정동,소계
합  계,1085564
의창구,258862
동읍            ,23189
북면            ,29217
대산면          ,7755
의창동          ,38296
팔룡동          ,40018
명곡동          ,52644
봉림동          ,37342
용지동          ,30401
성산구,237783
반송동          ,47982
중앙동          ,25527
상남동          ,32048
사파동          ,53900
가음정동        ,38241
성주동          ,28970
웅남동          ,11115
마산합포구,184584
구산면          ,5049
진동면          ,12961
진북면          ,4511
진전면          ,4507
현동            ,8949
가포동          ,1141
월영동          ,30657
문화동          ,12796
반월동          ,8832
중앙동          ,8574
완월동          ,11089
자산동          ,13004
동서동          ,11355
성호동          ,4348
교방동          ,10836
노산동          ,7461
오동동          ,6540
합포동          ,8105
산호동          ,13869
마산회원구,214289
내서읍          ,72158
회원1동         ,12192
회원2동         ,13381
석전1동         ,6700
석전2동         ,9943
회성동          ,7673
양덕1동         ,13031
양덕2동         ,33624
합성1동         ,7826
합성2동         ,10258
구암1동         ,11162
구암2동         ,11450
봉암동          ,4891
진해구,190046
중앙동          ,9170
태평동          ,6770
충무동          ,4429
여좌동          ,11024
태백동          ,6486
경화동          ,10661
병암동          ,8636
석동            ,19265
이동            ,10884
자은동          ,15721
덕산동          ,12007
풍호동          ,24914
웅천동          ,4984
웅동1동         ,9250
웅동2동         ,35845
