행정동,소계
합  계,1054323
의창구,266687
동읍            ,20539
북면            ,42983
대산면          ,7675
의창동          ,51204
팔룡동          ,38443
명곡동          ,43898
봉림동          ,31211
용지동          ,30734
성산구,220418
반송동          ,42651
중앙동          ,24115
상남동          ,28751
사파동          ,46551
가음정동        ,42026
성주동          ,27308
웅남동          ,9016
마산합포구,176951
구산면          ,4582
진동면          ,12680
진북면          ,4025
진전면          ,4119
현동            ,14632
가포동          ,681
월영동          ,32968
문화동          ,11700
반월중앙동      ,15377
완월동          ,9602
자산동          ,11260
교방동          ,14660
오동동          ,20367
합포동          ,7159
산호동          ,13139
마산회원구,194404
내서읍          ,66384
회원1동         ,10986
회원2동         ,7647
석전동          ,17391
회성동          ,6551
양덕1동         ,11629
양덕2동         ,32449
합성1동         ,9675
합성2동         ,8161
구암1동         ,9456
구암2동         ,10017
봉암동          ,4058
진해구,195863
충무동          ,17711
여좌동          ,9052
태백동          ,5264
경화동          ,11537
병암동          ,7620
석동            ,17538
이동            ,8723
자은동          ,21750
덕산동          ,10320
풍호동          ,26358
웅천동          ,12784
웅동1동         ,7236
웅동2동         ,39970
"   * 마산합포구 교방동 : 교방동+노산동(2020.1.1.통합) 
   * 진해구 충무동 : 중앙동+태평동+충무동(2020.1.1.통합)",
