행정동,소계
합  계,1072314
의창구,257593
동읍            ,22529
북면            ,37259
대산면          ,7350
의창동          ,36408
팔룡동          ,37795
명곡동          ,49380
봉림동          ,34454
용지동          ,32418
성산구,232213
반송동          ,45326
중앙동          ,25411
상남동          ,30287
사파동          ,50449
가음정동        ,43224
성주동          ,27437
웅남동          ,10079
마산합포구,183950
구산면          ,4931
진동면          ,13379
진북면          ,4320
진전면          ,4374
현동            ,13630
가포동          ,913
월영동          ,31867
문화동          ,12357
반월중앙동      ,16692
완월동          ,10527
자산동          ,12242
교방동          ,9318
노산동          ,6783
오동동          ,21330
합포동          ,7966
산호동          ,13321
마산회원구,204667
내서읍          ,70416
회원1동         ,12120
회원2동         ,9303
석전동          ,15075
회성동          ,7400
양덕1동         ,12539
양덕2동         ,34767
합성1동         ,7392
합성2동         ,9441
구암1동         ,10648
구암2동         ,10835
봉암동          ,4731
진해구,193891
중앙동          ,8577
태평동          ,6478
충무동          ,4094
여좌동          ,10222
태백동          ,6044
경화동          ,11474
병암동          ,8234
석동            ,18414
이동            ,10044
자은동          ,18974
덕산동          ,11206
풍호동          ,26822
웅천동          ,7273
웅동1동         ,7791
웅동2동         ,38244
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
