행정동,소계
합  계,1082200
의창구,257162
동읍            ,23209
북면            ,29503
대산면,7647
의창동,38160
팔룡동,39554
명곡동,52181
봉림동 ,36960
용지동,29948
성산구,236434
반송동 ,47686
중앙동,25553
상남동 ,32015
사파동,53593
가음정동 ,37873
성주동     ,28796
웅남동,10918
마산합포구,184344
구산면          ,4993
진동면          ,13324
진북면          ,4510
진전면          ,4474
현동            ,9550
가포동          ,1041
월영동          ,30497
문화동          ,12669
반월동          ,8800
중앙동          ,8580
완월동          ,10947
자산동          ,12866
동서동          ,11373
성호동          ,4207
교방동          ,10680
노산동          ,7405
오동동          ,6528
합포동          ,8170
산호동          ,13730
마산회원구,213613
내서읍          ,72100
회원1동,12361
회원2동  ,12306
석전1동  ,6069
석전2동,9814
회성동,7608
양덕1동,12956
양덕2동,35475
합성1동,7657
합성2동,10093
구암1동,11046
구암2동,11300
봉암동,4828
진해구,190647
중앙동          ,9032
태평동          ,6686
충무동          ,4338
여좌동          ,10862
태백동          ,6395
경화동          ,10612
병암동          ,8658
석동            ,19147
이동            ,10703
자은동          ,15840
덕산동          ,11838
풍호동          ,27122
웅천동          ,4663
웅동1동,8856
웅동2동,35895
