행정동,소계
합  계,1017524
의창구,214046
동읍,18564
북면,44510
대산면,7140
의창동,48336
팔룡동,25580
명곡동,39865
봉림동,30051
성산구,248598
반송동,39110
용지동,26399
중앙동,39452
상남동,26369
사파동,44358
가음정동,37568
성주동,27421
웅남동,7921
마산합포구,179882
구산면,4123
진동면,11772
진북면,3537
진전면,3787
현동,13566
가포동,5236
월영동,41421
문화동,10882
반월중앙동,13165
완월동,8314
자산동,8880
교방동,18896
오동동,18248
합포동,6606
산호동,11449
마산회원구,181920
내서읍,59269
회원1동,9439
회원2동,9459
석전동,15760
회성동,5160
양덕1동,10289
양덕2동,34376
합성1동,8591
합성2동,8855
구암1동,8075
구암2동,8923
봉암동,3724
진해구,193078
충무동,15557
여좌동,7858
태백동,3454
경화동,10432
병암동,6838
석동,17110
이동,8363
자은동,20114
덕산동,9195
풍호동,24751
웅천동,14443
웅동1동,8343
웅동2동,46620
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행) ,
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
