행정동,소계
합  계,1087226
의창구,261154
동읍            ,23340
북면            ,29052
대산면          ,7797
의창동          ,38506
팔룡동          ,40641
명곡동          ,53166
봉림동          ,37697
용지동          ,30955
성산구,239928
반송동          ,48281
중앙동          ,25763
상남동          ,32302
사파동          ,54276
가음정동        ,38735
성주동          ,29209
웅남동          ,11362
마산합포구,183652
구산면          ,5119
진동면          ,12920
진북면          ,4650
진전면          ,4527
현동            ,5158
가포동          ,1287
월영동          ,31216
문화동          ,13124
반월동          ,9045
중앙동          ,8802
완월동          ,11308
자산동          ,13211
동서동          ,11597
성호동          ,4447
교방동          ,11154
노산동          ,7546
오동동          ,6654
합포동          ,7643
산호동          ,14244
마산회원구,214050
내서읍          ,72713
회원1동         ,12289
회원2동         ,13619
석전1동         ,7694
석전2동         ,10036
회성동          ,7776
양덕1동         ,13219
양덕2동         ,30297
합성1동         ,8136
합성2동         ,10399
구암1동         ,11378
구암2동         ,11490
봉암동          ,5004
진해구,188442
중앙동          ,9381
태평동          ,6817
충무동          ,4520
여좌동          ,11222
태백동          ,6610
경화동          ,10792
병암동          ,8782
석동            ,19421
이동            ,11028
자은동          ,15630
덕산동          ,12153
풍호동          ,21755
웅천동          ,5046
웅동1동         ,9351
웅동2동         ,35934
