행정동,소계
합  계,1071314
의창구,257731
동읍            ,22379
북면            ,39419
대산면          ,7261
의창동          ,36030
팔룡동          ,37391
명곡동          ,48799
봉림동          ,33941
용지동          ,32511
성산구,232112
반송동          ,45198
중앙동          ,25325
상남동          ,30225
사파동          ,50091
가음정동        ,44001
성주동          ,27309
웅남동          ,9963
마산합포구,184005
구산면          ,4893
진동면          ,13338
진북면          ,4326
진전면          ,4339
현동            ,13679
가포동          ,888
월영동          ,32282
문화동          ,12326
반월중앙동      ,16579
완월동          ,10426
자산동          ,12138
교방동          ,9192
노산동          ,6752
오동동          ,21162
합포동          ,7848
산호동          ,13837
마산회원구,202667
내서읍          ,70170
회원1동         ,11955
회원2동         ,8812
석전동          ,14894
회성동          ,7259
양덕1동         ,12462
양덕2동         ,34580
합성1동         ,7308
합성2동         ,9220
구암1동         ,10518
구암2동         ,10856
봉암동          ,4633
진해구,194799
중앙동          ,8526
태평동          ,6464
충무동          ,4015
여좌동          ,10030
태백동          ,5926
경화동          ,11404
병암동          ,8149
석동            ,18286
이동            ,9741
자은동          ,20139
덕산동          ,11061
풍호동          ,26799
웅천동          ,7935
웅동1동         ,7675
웅동2동         ,38649
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
