행정동,소계
합  계,1032022
의창구,218407
동읍            ,19373
북면            ,43343
대산면          ,7311
의창동          ,50144
팔룡동          ,26500
명곡동          ,41054
봉림동          ,30682
성산구,251019
반송동          ,40248
용지동          ,27454
중앙동,35750
상남동          ,27195
사파동          ,46340
가음정동        ,39582
성주동          ,26250
웅남동          ,8200
마산합포구,180982
구산면          ,4278
진동면          ,12091
진북면          ,3649
진전면          ,3865
현동            ,13970
가포동          ,2338
월영동          ,42523
문화동          ,11290
반월중앙동      ,13924
완월동          ,8817
자산동          ,9951
교방동          ,16032
오동동,19102
합포동          ,7053
산호동          ,12099
마산회원구,184900
내서읍          ,62450
회원1동         ,10019
회원2동         ,9948
석전동          ,16684
회성동          ,5717
양덕1동         ,10891
양덕2동         ,30722
합성1동         ,9020
합성2동         ,7630
구암1동         ,8696
구암2동         ,9371
봉암동          ,3752
진해구,196714
충무동          ,16547
여좌동          ,8310
태백동          ,3672
경화동          ,10885
병암동          ,7290
석동            ,17613
이동            ,8578
자은동          ,20900
덕산동          ,9912
풍호동          ,25338
웅천동          ,13326
웅동1동         ,8549
웅동2동         ,45794
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행),
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
