행정동,소계
합  계,1086359
의창구,259783
동읍            ,23293
북면            ,29137
대산면          ,7758
의창동          ,38297
팔룡동          ,40188
명곡동          ,52944
봉림동          ,37484
용지동          ,30682
성산구,238301
반송동          ,48002
중앙동          ,25593
상남동          ,32132
사파동          ,53901
가음정동        ,38457
성주동          ,29029
웅남동          ,11187
마산합포구,184205
구산면          ,5080
진동면          ,12904
진북면          ,4568
진전면          ,4527
현동            ,7972
가포동          ,1208
월영동          ,30794
문화동          ,12898
반월동          ,8869
중앙동          ,8609
완월동          ,11136
자산동          ,13081
동서동          ,11441
성호동          ,4365
교방동          ,10971
노산동          ,7487
오동동          ,6577
합포동          ,7753
산호동          ,13965
마산회원구,214405
내서읍          ,72267
회원1동         ,12121
회원2동         ,13444
석전1동         ,7328
석전2동         ,9929
회성동          ,7701
양덕1동         ,13080
양덕2동         ,32719
합성1동         ,7936
합성2동         ,10264
구암1동         ,11264
구암2동         ,11446
봉암동          ,4906
진해구,189665
중앙동          ,9263
태평동          ,6785
충무동          ,4442
여좌동          ,11090
태백동          ,6533
경화동          ,10754
병암동          ,8649
석동            ,19347
이동            ,10895
자은동          ,15636
덕산동          ,12067
풍호동          ,24047
웅천동          ,5003
웅동1동         ,9306
웅동2동         ,35848
