행정동,소계
합  계,1015654
의창구,213156
동읍,18652
북면,44786
대산면,7059
의창동,48015
팔룡동,25373
명곡동,39659
봉림동,29612
성산구,249729
반송동,38783
용지동,26057
중앙동,40506
상남동,26165
사파동,43908
가음정동,39174
성주동,27394
웅남동,7742
마산합포구,179294
구산면,4074
진동면,11736
진북면,3489
진전면,3772
현동,13852
가포동,5293
월영동,41386
문화동,10820
반월중앙동,13078
완월동,8254
자산동,8772
교방동,18827
오동동,18059
합포동,6499
산호동,11383
마산회원구,181173
내서읍,58806
회원1동,9397
회원2동,9403
석전동,15637
회성동,5128
양덕1동,10243
양덕2동,34531
합성1동,8582
합성2동,8847
구암1동,7997
구암2동,8886
봉암동,3716
진해구,192302
충무동,15534
여좌동,7800
태백동,3392
경화동,10221
병암동,6849
석동,17057
이동,8341
자은동,20037
덕산동,9060
풍호동,24681
웅천동,14431
웅동1동,8310
웅동2동,46589
,
※ 의창구-성산구 행정구역 조정(2021. 7. 1.시행) ,
- 의창구 퇴촌동(법정동) 일부 → 성산구 반송동,
- 의창구 대원동·두대동·삼동동·덕정동(법정동) →  성산구 중앙동,
- 의창구 용지동(행정동) → 성산구 용지동(행정동),
