행정동,소계
합  계,1073387
의창구,256004
동읍            ,22889
북면            ,34296
대산면          ,7540
의창동          ,37223
팔룡동          ,38473
명곡동          ,50555
봉림동          ,35505
용지동          ,29523
성산구,232808
반송동          ,46408
중앙동          ,25563
상남동          ,31138
사파동          ,51778
가음정동        ,39567
성주동          ,27961
웅남동          ,10393
마산합포구,183746
구산면          ,4980
진동면          ,13457
진북면          ,4384
진전면          ,4387
현동            ,12818
가포동          ,974
월영동          ,30231
문화동          ,12474
반월중앙동      ,17010
완월동          ,10774
자산동          ,12545
교방동          ,9629
노산동          ,7001
오동동          ,21552
합포동          ,8077
산호동          ,13453
마산회원구,208937
내서읍          ,71027
회원1동         ,12275
회원2동         ,10919
석전동          ,15312
회성동          ,7533
양덕1동         ,12670
양덕2동         ,35242
합성1동         ,7497
합성2동         ,9922
구암1동         ,10763
구암2동         ,11010
봉암동          ,4767
진해구,191892
중앙동          ,8822
태평동          ,6562
충무동          ,4207
여좌동          ,10521
태백동          ,6212
경화동          ,11562
병암동          ,8418
석동            ,18700
이동            ,10384
자은동          ,17776
덕산동          ,11563
풍호동          ,27167
웅천동          ,5461
웅동1동         ,8032
웅동2동         ,36505
"   * 마산합포구 오동동 : 오동동+성호동+동서동(통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(통합) 
   * 마산회원구 석전동 : 석전1동+석전2동(통합) ",
