행정동,소계
합  계,1069843
의창구,256831
동읍            ,22054
북면            ,40789
대산면          ,7288
의창동          ,35545
팔룡동          ,36900
명곡동          ,47974
봉림동          ,33423
용지동          ,32858
성산구,231655
반송동          ,44962
중앙동          ,25227
상남동          ,30103
사파동          ,49554
가음정동        ,44051
성주동          ,27944
웅남동          ,9814
마산합포구,183207
구산면          ,4871
진동면          ,13288
진북면          ,4291
진전면          ,4299
현동            ,13822
가포동          ,774
월영동          ,32482
문화동          ,12350
반월중앙동      ,16401
완월동          ,10288
자산동          ,12026
교방동          ,9079
노산동          ,6610
오동동          ,21076
합포동          ,7727
산호동          ,13823
마산회원구,202039
내서읍          ,69650
회원1동         ,11775
회원2동         ,8556
석전동          ,14639
회성동          ,7141
양덕1동         ,12346
양덕2동         ,33950
합성1동         ,9539
합성2동         ,8913
구암1동         ,10278
구암2동         ,10638
봉암동          ,4614
진해구,196111
중앙동          ,8434
태평동          ,6400
충무동          ,3962
여좌동          ,9800
태백동          ,5825
경화동          ,11228
병암동          ,8089
석동            ,18094
이동            ,9594
자은동          ,20292
덕산동          ,10899
풍호동          ,26796
웅천동          ,10319
웅동1동         ,7618
웅동2동         ,38761
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",
