NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
42,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202012,09,"30,700",18,-,-,2008,중앙대로 48,20201216,-,-
43,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,118.9100,202012,09,"37,000",12,-,-,2009, 320,-,-,-
44,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,126.0600,202012,09,"42,600",15,-,-,2009, 320,-,-,-
45,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,117.5200,202012,09,"39,000",20,-,-,2009, 320,-,-,-
46,경상남도 창원시 성산구 신월동,68-1,0068,0001,토월복합상가,40.7200,202012,08,"3,450",6,-,-,1991, 42,-,-,-
47,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,132.4300,202012,07,"34,900",25,-,-,2008,중앙대로 48,-,-,-
48,경상남도 창원시 성산구 상남동,25,0025,0000,네스트빌딩,22.6250,202012,07,"3,700",8,-,-,2003,마디미로38번길 11,-,-,-
49,경상남도 창원시 성산구 중앙동,96-3,0096,0003,라큐비,23.4800,202012,07,"6,500",10,-,-,2015,중앙대로83번길 8,-,-,-
50,경상남도 창원시 성산구 중앙동,96-3,0096,0003,라큐비,23.4800,202012,07,"6,500",13,-,-,2015,중앙대로83번길 8,-,-,-
51,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,153.7400,202012,07,"47,800",4,-,-,2009, 320,-,-,-
52,경상남도 창원시 성산구 중앙동,98-4,0098,0004,성원그랜드오피스텔,52.0000,202012,07,"4,000",9,-,-,1990,용지로 70,-,-,-
53,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,128.2300,202012,05,"32,800",11,-,-,2008,중앙대로 48,-,-,-
54,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,178.3700,202012,04,"66,000",12,-,-,2009, 320,-,-,-
55,경상남도 창원시 성산구 상남동,14-1,0014,0001,지원빌딩,21.7800,202012,04,"5,300",10,-,-,2012,마디미로16번길 11,-,-,-
56,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,29.6500,202012,04,"4,050",13,-,-,2003,상남로 35,-,-,-
57,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202012,04,"40,000",4,-,-,2008,중앙대로 48,-,-,-
58,경상남도 창원시 성산구 상남동,75-2,0075,0002,엠케이오피스텔,23.7250,202012,04,"9,800",21,-,-,2016,중앙대로 94,-,-,-
59,경상남도 창원시 성산구 중앙동,101-1,0101,0001,경남오피스텔,57.6000,202012,04,"4,950",5,-,-,1990,중앙대로 37,-,-,-
60,경상남도 창원시 성산구 중앙동,99-2,0099,0002,창원 중앙 블루힐스,21.2400,202012,04,"7,500",12,-,-,2016,용지로 56,-,-,-
61,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,153.7400,202012,04,"50,000",8,-,-,2009, 320,-,-,-
62,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,118.9100,202012,04,"35,000",8,-,-,2009, 320,-,-,-
63,경상남도 창원시 성산구 상남동,14-1,0014,0001,지원빌딩,21.7800,202012,03,"5,300",11,-,-,2012,마디미로16번길 11,20201204,-,-
64,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,117.5200,202012,02,"37,000",28,-,-,2009, 320,-,-,-
65,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,117.5200,202012,02,"37,000",28,-,-,2009, 320,20201216,-,-
66,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,126.0600,202012,02,"43,000",21,-,-,2009, 320,-,-,-
67,경상남도 창원시 성산구 중앙동,100-2,0100,0002,현대오피스텔,32.8500,202012,02,"1,700",10,-,-,1990,중앙대로 55,-,-,-
68,경상남도 창원시 성산구 상남동,11-6,0011,0006,비잔틴빌딩,30.3750,202012,02,"4,800",8,-,-,2002,마디미로21번길 5,-,-,-
69,경상남도 창원시 성산구 중앙동,93-1,0093,0001,평화상가오피스텔,57.4000,202012,01,"2,800",5,-,-,1992,중앙대로 111,-,-,-
70,경상남도 창원시 성산구 중앙동,95-1,0095,0001,하이페르 오피스텔,31.2600,202012,01,"4,800",13,-,-,2003,용지로 96,-,-,-
71,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,22.0900,202012,01,"4,800",7,-,-,2006,중앙대로 104,-,-,-
72,경상남도 창원시 성산구 중앙동,95-1,0095,0001,하이페르 오피스텔,31.2600,202011,30,"3,900",13,-,-,2003,용지로 96,-,-,-
73,경상남도 창원시 성산구 상남동,14-1,0014,0001,지원빌딩,21.7800,202011,30,"5,200",11,-,-,2012,마디미로16번길 11,-,-,-
74,경상남도 창원시 성산구 중앙동,101-2,0101,0002,대흥인터빌,29.4800,202011,30,"6,000",13,-,-,2004,중앙대로 33,-,-,-
75,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202011,30,"27,400",6,-,-,2008,중앙대로 48,-,-,-
76,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,25.9900,202011,28,"5,500",15,-,-,2006,중앙대로 104,-,-,-
77,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,117.5200,202011,28,"36,000",9,-,-,2009, 320,-,-,-
78,경상남도 창원시 성산구 중앙동,95-1,0095,0001,하이페르 오피스텔,31.2600,202011,28,"4,050",13,-,-,2003,용지로 96,-,-,-
79,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,126.0600,202011,27,"42,000",21,-,-,2009, 320,-,-,-
80,경상남도 창원시 성산구 중앙동,96-3,0096,0003,라큐비,23.4800,202011,27,"6,700",11,-,-,2015,중앙대로83번길 8,-,-,-
81,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,126.0600,202011,27,"42,000",21,-,-,2009, 320,-,-,-
82,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,118.9100,202011,27,"35,700",5,-,-,2009, 320,20210330,-,-
83,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,22.0900,202011,27,"4,800",12,-,-,2006,중앙대로 104,-,-,-
84,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,24.2800,202011,26,"6,600",5,-,-,2016,상남로 75,-,-,-
85,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.9400,202011,26,"6,600",5,-,-,2016,상남로 75,-,-,-
86,경상남도 창원시 성산구 상남동,73-2,0073,0002,위드필타워,23.9600,202011,26,"6,600",3,-,-,2016,상남로 75,-,-,-
87,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,178.3700,202011,25,"60,000",17,-,-,2009, 320,-,-,-
88,경상남도 창원시 성산구 중앙동,96-4,0096,0004,창원리제스타워,41.3600,202011,25,"7,900",8,-,-,2004,중앙대로 85,-,-,-
89,경상남도 창원시 성산구 중앙동,101-2,0101,0002,대흥인터빌,29.4800,202011,24,"6,000",5,-,-,2004,중앙대로 33,-,-,-
90,경상남도 창원시 성산구 중앙동,100-4,0100,0004,창원서광오피스텔,31.2000,202011,24,"2,000",9,-,-,1991,중앙대로 49,-,-,-
91,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,155.3700,202011,24,"37,000",12,-,-,2008,중앙대로 48,-,-,-
92,경상남도 창원시 성산구 중앙동,97-3,0097,0003,상지솔리움,20.9400,202011,24,"3,000",15,-,-,2003,중앙대로 75,-,-,-
93,경상남도 창원시 성산구 중앙동,97-3,0097,0003,상지솔리움,24.9400,202011,24,"3,500",13,-,-,2003,중앙대로 75,-,-,-
94,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,178.3700,202011,23,"59,700",13,-,-,2009, 320,-,-,-
95,경상남도 창원시 성산구 중앙동,95-1,0095,0001,하이페르 오피스텔,31.2600,202011,23,"3,930",13,-,-,2003,용지로 96,-,-,-
96,경상남도 창원시 성산구 상남동,78-3,0078,0003,마이우스 오피스텔,29.4480,202011,23,"6,150",5,-,-,2006,중앙대로 104,-,-,-
97,경상남도 창원시 성산구 상남동,69-2,0069,0002,새롬아이포빌,29.6500,202011,23,"4,100",7,-,-,2003,상남로 35,-,-,-
98,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,117.5200,202011,23,"37,000",7,-,-,2009, 320,-,-,-
99,경상남도 창원시 성산구 중앙동,96-3,0096,0003,라큐비,23.4800,202011,19,"6,000",19,-,-,2015,중앙대로83번길 8,-,-,-
100,경상남도 창원시 성산구 상남동,71-3,0071,0003,상남 아크로타워,108.9000,202011,19,"27,300",15,-,-,2008,중앙대로 48,-,-,-
101,경상남도 창원시 성산구 상남동,12-6,0012,0006,청솔아트빌,24.8400,202011,19,"4,000",10,-,-,2003,마디미로15번길 9,-,-,-
102,경상남도 창원시 성산구 대원동,121,0121,0000,더시티세븐,241.4700,202011,18,"98,500",40,-,-,2009, 320,-,-,-
