NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,경상남도 창원시 마산회원구 석전동,245-6,0245,0006,석전오피스텔,21.6000,202312,22,"3,800",11,-,-,1996,양덕옛2길 73,-,직거래,-
2,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,53.7200,202312,16,"10,900",3,-,-,2016, ,-,중개거래,경남 창원시마산합포구
3,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,22.6800,202312,01,"3,100",14,-,-,2003,봉양로 13,-,직거래,-
4,경상남도 창원시 마산회원구 회성동,463-10,0463,0010,대송그린빌라트,62.6400,202311,01,"8,300",4,-,-,2003,회성남18길 9,-,중개거래,경남 창원마산회원구
5,경상남도 창원시 마산회원구 회원동,25-5,0025,0005,아세아포스,39.0000,202310,07,"2,700",5,-,-,2005,북성로 178,-,중개거래,경남 창원마산회원구
6,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,26.0405,202309,18,"7,900",9,-,-,2018, ,-,중개거래,경남 창원마산회원구
7,경상남도 창원시 마산회원구 회원동,409-3,0409,0003,금광아일린,84.2791,202308,30,"15,000",8,-,-,2016,회원동서로 8,20230912,직거래,-
8,경상남도 창원시 마산회원구 합성동,324-2,0324,0002,(324-2),56.2400,202308,29,"6,900",6,-,-,2003,합성남8길 67,-,직거래,-
9,경상남도 창원시 마산회원구 석전동,245-6,0245,0006,석전오피스텔,21.6000,202308,26,"2,400",9,-,-,1996,양덕옛2길 73,-,중개거래,경남 창원마산회원구
10,경상남도 창원시 마산회원구 석전동,245-6,0245,0006,석전오피스텔,34.3600,202308,14,"3,150",8,-,-,1996,양덕옛2길 73,-,중개거래,경남 창원마산회원구
11,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,33.5400,202307,22,"12,800",11,-,-,2018, ,-,중개거래,경남 창원의창구
12,경상남도 창원시 마산회원구 구암동,90-23,0090,0023,동남프라자,32.5400,202307,10,"4,800",7,-,-,2005,3·15대로 954,-,중개거래,경남 창원마산회원구
13,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202307,04,"7,050",6,-,-,2013,양덕로 13,-,중개거래,경남 창원마산합포구 경남 창원마산회원구
14,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,22.6800,202306,21,"2,800",10,-,-,2003,봉양로 13,-,중개거래,경남 창원마산합포구
15,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,36.3600,202306,20,"3,900",6,-,-,2003,양덕동2길 17,-,중개거래,경남 창원마산회원구
16,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,26.5200,202306,20,"2,500",4,-,-,2003,양덕동2길 17,-,중개거래,경남 창원마산회원구
17,경상남도 창원시 마산회원구 양덕동,174-48,0174,0048,동원에코빌,30.1925,202306,14,"5,400",4,-,-,2013,양덕로 13,-,중개거래,경남 창원마산회원구
18,경상남도 창원시 마산회원구 양덕동,153-14,0153,0014,리첸시아,35.1900,202306,08,"2,800",6,-,-,2003,봉양로 13,-,중개거래,경남 창원마산회원구
19,경상남도 창원시 마산회원구 석전동,245-6,0245,0006,석전오피스텔,43.2000,202306,07,"6,000",10,-,-,1996,양덕옛2길 73,-,직거래,-
20,경상남도 창원시 마산회원구 회원동,68-4,0068,0004,신안 시티텔,25.9000,202306,05,"2,300",6,-,-,2002,3·15대로 488,-,직거래,-
