NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
36,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.5066,202408,26,"29,000",18,개인,개인,2019,중동중앙로 47,-,중개거래,경남 창원시 의창구
37,경상남도 창원시 의창구 동읍 용잠리,1153-12,1153,0012,라푸름,78.0124,202408,26,"9,600",7,개인,법인,2017, ,-,직거래,-
38,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,23.2798,202408,23,"11,451",8,공공기관,법인,2019,용동로 45,-,직거래,-
39,경상남도 창원시 의창구 동읍 용잠리,230-6,0230,0006,보광드림빌,84.0351,202408,22,"9,200",14,개인,법인,2017, ,-,직거래,-
40,경상남도 창원시 의창구 동읍 용잠리,230-6,0230,0006,보광드림빌,84.0351,202408,22,"8,500",3,개인,법인,2017, ,-,직거래,-
41,경상남도 창원시 의창구 동읍 용잠리,230-6,0230,0006,보광드림빌,84.0351,202408,22,"8,500",4,개인,법인,2017, ,-,직거래,-
42,경상남도 창원시 의창구 동읍 용잠리,230-6,0230,0006,보광드림빌,84.0351,202408,20,"6,653",4,개인,법인,2017, ,-,직거래,-
43,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.6001,202408,15,"30,000",37,개인,개인,2019,중동중앙로 47,-,중개거래,경남 창원시 의창구
44,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,59.6001,202408,01,"30,000",15,개인,법인,2019,중동중앙로 47,-,중개거래,경남 창원시 의창구
45,경상남도 창원시 의창구 중동,784-1,0784,0001,어반브릭스,38.5697,202407,25,"22,500",7,개인,개인,2019,중동중앙로 47,-,중개거래,경남 창원시 의창구
46,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202407,24,"12,900",7,개인,개인,2019,용동로57번안길 9-11,-,중개거래,"경남 창원시 성산구, 경남 창원시 의창구"
47,경상남도 창원시 의창구 사림동,162-7,0162,0007,미래리움2,28.2339,202407,18,"12,800",8,개인,개인,2019,용동로57번안길 9-11,-,중개거래,부산 사상구
48,경상남도 창원시 의창구 사림동,161-1,0161,0001,현대 썬앤빌 더 스퀘어,23.2798,202407,15,"10,000",7,법인,개인,2019,용동로 45,-,중개거래,경남 창원시 의창구
49,경상남도 창원시 의창구 사림동,162-3,0162,0003,센트럴 애비뉴,30.7087,202407,15,"16,871",4,법인,법인,2019,용동로57번길 20,-,직거래,-
