NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
39,경상남도 창원시 마산회원구 구암동,78-5,0078,0005,더 마크원 오피스텔,26.0405,202107,14,"6,700",9,-,-,2018, ,-,-,-
40,경상남도 창원시 마산회원구 회원동,61-2,0061,0002,회원동신화하니엘,54.9600,202107,09,"11,900",11,-,-,2016, ,-,-,-
41,경상남도 창원시 마산회원구 내서읍 호계리,296,0296,0000,내서 신화하니엘 더시티,52.4762,202107,05,"17,269",16,-,-,2017,호원로 223,-,-,-
42,경상남도 창원시 마산회원구 내서읍 호계리,296,0296,0000,내서 신화하니엘 더시티,50.9286,202107,05,"17,012",17,-,-,2017,호원로 223,-,-,-
43,경상남도 창원시 마산회원구 내서읍 호계리,296,0296,0000,내서 신화하니엘 더시티,58.9965,202107,05,"16,908",6,-,-,2017,호원로 223,-,-,-
44,경상남도 창원시 마산회원구 내서읍 호계리,296,0296,0000,내서 신화하니엘 더시티,58.3684,202107,05,"16,650",3,-,-,2017,호원로 223,-,-,-
45,경상남도 창원시 마산회원구 석전동,245-6,0245,0006,석전오피스텔,55.1650,202107,02,"7,000",10,-,-,1996,양덕옛2길 73,-,-,-
46,경상남도 창원시 마산회원구 내서읍 중리,794-4,0794,0004,팔래스 오피스텔,26.8795,202106,30,"11,000",3,-,-,2013,죽암로 77-13,-,-,-
47,경상남도 창원시 마산회원구 합성동,324-2,0324,0002,(324-2),56.2400,202106,24,"6,900",6,-,-,2003,합성남8길 67,-,-,-
48,경상남도 창원시 마산회원구 양덕동,150-7,0150,0007,양덕이담채아파트,69.6691,202106,18,"16,000",4,-,-,2019,양덕남8길 40,-,-,-
49,경상남도 창원시 마산회원구 양덕동,95-29,0095,0029,성락오피스텔,23.9400,202106,16,"2,900",4,-,-,2004,양덕북4길 56,-,-,-
50,경상남도 창원시 마산회원구 양덕동,163-17,0163,0017,대력베스트빌,32.2800,202106,13,"4,000",4,-,-,2003,양덕동2길 17,-,-,-
51,경상남도 창원시 마산회원구 석전동,222-8,0222,0008,(222-8),39.6000,202106,04,"4,600",5,-,-,2000,석전동15길 39,-,-,-
52,경상남도 창원시 마산회원구 회원동,409-3,0409,0003,금광아일린,84.2791,202106,02,"16,000",8,-,-,2016,회원동서로 8,-,-,-
