NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
34,경상남도 창원시 마산합포구 신포동2가,85-6,0085,0006,기전씨티텔,37.0800,202410,02,"3,000",4,개인,법인,1998,동서동2길 41,20241014,중개거래,경남 창원시 마산합포구
35,경상남도 창원시 마산합포구 산호동,7-5,0007,0005,동인노블리앙,36.9300,202409,30,"7,000",9,개인,개인,2004,산호북19길 11,-,중개거래,경남 창원시 마산회원구
36,경상남도 창원시 마산합포구 월영동,598-5,0598,0005,월영동 에드텔,29.2500,202409,25,"2,100",5,개인,개인,2000,밤밭고개로 395,-,중개거래,경남 창원시 마산합포구
37,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,26.6118,202409,25,"9,000",17,개인,개인,2019,동서동2길 60,-,중개거래,경남 창원시 마산회원구
38,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202409,24,"2,100",11,개인,개인,2006,해안대로 367,-,중개거래,경남 창원시 마산합포구
39,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202409,24,"2,100",11,개인,개인,2006,해안대로 367,20241011,중개거래,경남 창원시 마산합포구
40,경상남도 창원시 마산합포구 오동동,318-1,0318,0001,포세이돈하우스,42.9900,202409,23,"8,350",8,개인,법인,2017,해안대로 376,-,중개거래,경남 창원시 마산합포구
41,경상남도 창원시 마산합포구 자산동,302-38,0302,0038,형제샘터마을,27.3600,202409,23,"2,000",10,개인,개인,2003,자산삼거리로 2-1,-,중개거래,경남 창원시 마산합포구
42,경상남도 창원시 마산합포구 월남동3가,13,0013,0000,씨티빌-Ⅱ오피스텔,25.1780,202409,22,"4,600",6,개인,개인,2003,3·15대로 47,-,중개거래,경남 창원시 마산합포구
43,경상남도 창원시 마산합포구 중앙동3가,4-192,0004,0192,리베로오피스텔,22.6200,202409,10,"3,200",5,개인,개인,2003,중앙북7길 7,-,중개거래,경남 창원시 마산합포구
44,경상남도 창원시 마산합포구 해운동,63-1,0063,0001,경민파라다이스201,25.2000,202409,03,"2,650",12,개인,개인,1999,해안대로 15,-,중개거래,경남 창원시 마산합포구
45,경상남도 창원시 마산합포구 오동동,214-7,0214,0007,고려타워,28.5557,202408,29,"4,900",11,개인,법인,2018,문화의길 15,-,중개거래,경남 창원시 마산합포구
46,경상남도 창원시 마산합포구 산호동,6-4,0006,0004,SQUARE_B,21.5150,202408,28,"11,000",20,개인,개인,2023,용마로 106,-,중개거래,"경남 창원시 마산합포구, 경남 창원시 마산회원구"
47,경상남도 창원시 마산합포구 해운동,42-5,0042,0005,킴즈타운,34.3875,202408,27,"4,900",4,개인,개인,2003,월영동로 7,-,중개거래,경남 창원시 마산합포구
48,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202408,27,"2,100",4,개인,개인,2006,해안대로 367,-,직거래,-
49,경상남도 창원시 마산합포구 월영동,598-5,0598,0005,월영동 에드텔,31.5000,202408,27,"2,600",8,개인,개인,2000,밤밭고개로 395,-,중개거래,경남 창원시 마산합포구
50,경상남도 창원시 마산합포구 월남동3가,13,0013,0000,씨티빌-Ⅱ오피스텔,25.1780,202408,22,"4,500",9,개인,개인,2003,3·15대로 47,-,중개거래,경남 창원시 마산합포구
51,경상남도 창원시 마산합포구 해운동,65-2,0065,0002,한백마이존,35.0000,202408,21,"3,500",4,개인,개인,1999,월영동13길 9,-,중개거래,경남 창원시 마산합포구
52,경상남도 창원시 마산합포구 신포동2가,23,0023,0000,마산 웰메이드 시티,26.6118,202408,19,"10,000",10,개인,개인,2019,동서동2길 60,-,직거래,-
