Unnamed: 0,Unnamed: 1,2018년 10월말 주민등록인구 현황,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
【창원시】,,,,,,,,,,"            (단위 : 세대, 명)"
"읍 면
동 별",인        구,,,"한  국  인
(주민등록인구)",,,,"외  국  인
(출입국관리소 등록신고)",,
,소계,남,여,소계,남,여,세대수,소계,남,여
합  계,1069843,544198,525645,1054353,534406,519947,425074,15490,9792,5698
의창구,256831,131032,125799,252984,128733,124251,102371,3847,2299,1548
동읍            ,22054,11240,10814,21835,11113,10722,8844,219,127,92
북면            ,40789,20659,20130,40561,20544,20017,14915,228,115,113
대산면          ,7288,3816,3472,6906,3481,3425,3319,382,335,47
의창동          ,35545,18024,17521,35260,17903,17357,14772,285,121,164
팔룡동          ,36900,19205,17695,35755,18309,17446,13416,1145,896,249
명곡동          ,47974,24304,23670,47315,24005,23310,18567,659,299,360
봉림동          ,33423,17339,16084,32815,17075,15740,15322,608,264,344
용지동          ,32858,16445,16413,32537,16303,16234,13216,321,142,179
성산구,231655,119289,112366,227609,116349,111260,85595,4046,2940,1106
반송동          ,44962,22706,22256,44687,22587,22100,15486,275,119,156
중앙동          ,25227,13710,11517,24197,13085,11112,12838,1030,625,405
상남동          ,30103,15222,14881,29908,15132,14776,10467,195,90,105
사파동          ,49554,24817,24737,49264,24687,24577,18343,290,130,160
가음정동        ,44051,22453,21598,43573,22135,21438,15640,478,318,160
성주동          ,27944,14744,13200,27314,14184,13130,9289,630,560,70
웅남동          ,9814,5637,4177,8666,4539,4127,3532,1148,1098,50
마산합포구,183207,91476,91731,180970,90162,90808,78229,2237,1314,923
구산면          ,4871,2625,2246,4615,2385,2230,2321,256,240,16
진동면          ,13288,6808,6480,13087,6699,6388,5493,201,109,92
진북면          ,4291,2427,1864,3838,2043,1795,1805,453,384,69
진전면          ,4299,2163,2136,4201,2097,2104,2206,98,66,32
현동            ,13822,6911,6911,13705,6836,6869,5220,117,75,42
가포동          ,774,406,368,742,380,362,368,32,26,6
월영동          ,32482,16128,16354,32035,15929,16106,12029,447,199,248
문화동          ,12350,6111,6239,12243,6057,6186,5689,107,54,53
반월중앙동      ,16401,8004,8397,16321,7980,8341,6751,80,24,56
완월동          ,10288,5024,5264,10246,5014,5232,4203,42,10,32
자산동          ,12026,5897,6129,11995,5891,6104,5033,31,6,25
교방동          ,9079,4496,4583,9058,4491,4567,3600,21,5,16
노산동          ,6610,3259,3351,6571,3251,3320,3001,39,8,31
오동동          ,21076,10464,10612,20930,10411,10519,10321,146,53,93
합포동          ,7727,3930,3797,7685,3916,3769,3786,42,14,28
산호동          ,13823,6823,7000,13698,6782,6916,6403,125,41,84
마산회원구,202039,101949,100090,199926,100726,99200,81295,2113,1223,890
내서읍          ,69650,35096,34554,69239,34850,34389,24926,411,246,165
회원1동         ,11775,5873,5902,11707,5853,5854,5441,68,20,48
회원2동         ,8556,4308,4248,8527,4299,4228,3701,29,9,20
석전동          ,14639,7307,7332,14508,7255,7253,6485,131,52,79
회성동          ,7141,3669,3472,7100,3662,3438,3291,41,7,34
양덕1동         ,12346,6181,6165,12227,6114,6113,5529,119,67,52
양덕2동         ,33950,17010,16940,33787,16906,16881,12049,163,104,59
합성1동         ,9539,4857,4682,9477,4833,4644,4373,62,24,38
합성2동         ,8913,4456,4457,8735,4369,4366,4446,178,87,91
구암1동         ,10278,5132,5146,10200,5109,5091,4531,78,23,55
구암2동         ,10638,5337,5301,10478,5272,5206,4490,160,65,95
봉암동          ,4614,2723,1891,3941,2204,1737,2033,673,519,154
진해구,196111,100452,95659,192864,98436,94428,77584,3247,2016,1231
중앙동          ,8434,4360,4074,8407,4349,4058,3076,27,11,16
태평동          ,6400,3282,3118,6355,3254,3101,2781,45,28,17
충무동          ,3962,2002,1960,3937,1995,1942,1933,25,7,18
여좌동          ,9800,4881,4919,9706,4849,4857,4548,94,32,62
태백동          ,5825,2942,2883,5799,2935,2864,2847,26,7,19
경화동          ,11228,5678,5550,11169,5656,5513,4394,59,22,37
병암동          ,8089,3998,4091,8050,3988,4062,3360,39,10,29
석동            ,18094,9202,8892,17940,9117,8823,6505,154,85,69
이동            ,9594,5010,4584,9471,4962,4509,4633,123,48,75
자은동          ,20292,10055,10237,20209,10037,10172,7715,83,18,65
덕산동          ,10899,5363,5536,10843,5335,5508,4137,56,28,28
풍호동          ,26796,13396,13400,26714,13357,13357,8998,82,39,43
웅천동          ,10319,5397,4922,9980,5097,4883,4211,339,300,39
웅동1동         ,7618,4214,3404,6871,3514,3357,2690,747,700,47
웅동2동         ,38761,20672,18089,37413,19991,17422,15756,1348,681,667
"   * 마산합포구 오동동 : 오동동+성호동+동서동(2017.1.1.통합) 
   * 마산합포구 반월중앙동 : 반월동+중앙동(2017.1.1.통합)
   * 마산회원구 석전동 : 석전1동+석전2동(2017.1.1.통합)",,,,,,,,,,
